Module	Section	Sample Name	Source
FastQC	all_sections	R.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/R.1_trimmed_fastqc.zip
FastQC	all_sections	U.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/U.1_trimmed_fastqc.zip
FastQC	all_sections	I.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/I.2_trimmed_fastqc.zip
FastQC	all_sections	V.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/V.2_trimmed_fastqc.zip
FastQC	all_sections	G.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/G.2_trimmed_fastqc.zip
FastQC	all_sections	D.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/D.1_trimmed_fastqc.zip
FastQC	all_sections	Q.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/Q.2_trimmed_fastqc.zip
FastQC	all_sections	O.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/O.2_trimmed_fastqc.zip
FastQC	all_sections	D.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/D.2_trimmed_fastqc.zip
FastQC	all_sections	M.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/M.2_trimmed_fastqc.zip
FastQC	all_sections	L.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/L.1_trimmed_fastqc.zip
FastQC	all_sections	C.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/C.2_trimmed_fastqc.zip
FastQC	all_sections	T.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/T.2_trimmed_fastqc.zip
FastQC	all_sections	O.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/O.1_trimmed_fastqc.zip
FastQC	all_sections	X.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/X.1_trimmed_fastqc.zip
FastQC	all_sections	H.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/H.2_trimmed_fastqc.zip
FastQC	all_sections	E.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/E.1_trimmed_fastqc.zip
FastQC	all_sections	P.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/P.2_trimmed_fastqc.zip
FastQC	all_sections	N.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/N.1_trimmed_fastqc.zip
FastQC	all_sections	F.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/F.2_trimmed_fastqc.zip
FastQC	all_sections	H.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/H.1_trimmed_fastqc.zip
FastQC	all_sections	L.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/L.2_trimmed_fastqc.zip
FastQC	all_sections	J.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/J.1_trimmed_fastqc.zip
FastQC	all_sections	A.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/A.2_trimmed_fastqc.zip
FastQC	all_sections	A.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/A.1_trimmed_fastqc.zip
FastQC	all_sections	K.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/K.1_trimmed_fastqc.zip
FastQC	all_sections	E.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/E.2_trimmed_fastqc.zip
FastQC	all_sections	W.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/W.1_trimmed_fastqc.zip
FastQC	all_sections	I.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/I.1_trimmed_fastqc.zip
FastQC	all_sections	Q.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/Q.1_trimmed_fastqc.zip
FastQC	all_sections	W.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/W.2_trimmed_fastqc.zip
FastQC	all_sections	U.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/U.2_trimmed_fastqc.zip
FastQC	all_sections	B.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/B.2_trimmed_fastqc.zip
FastQC	all_sections	T.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/T.1_trimmed_fastqc.zip
FastQC	all_sections	P.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/P.1_trimmed_fastqc.zip
FastQC	all_sections	C.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/C.1_trimmed_fastqc.zip
FastQC	all_sections	J.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/J.2_trimmed_fastqc.zip
FastQC	all_sections	K.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/K.2_trimmed_fastqc.zip
FastQC	all_sections	X.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/X.2_trimmed_fastqc.zip
FastQC	all_sections	R.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/R.2_trimmed_fastqc.zip
FastQC	all_sections	S.2_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/S.2_trimmed_fastqc.zip
FastQC	all_sections	F.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/F.1_trimmed_fastqc.zip
FastQC	all_sections	S.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/S.1_trimmed_fastqc.zip
FastQC	all_sections	B.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/B.1_trimmed_fastqc.zip
FastQC	all_sections	M.1_trimmed	/Users/andrewspanjer/RNAseq_Coho/analyses/fastQC_after/M.1_trimmed_fastqc.zip
