	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Phel_contig_10	5492.709601	7.887775059	0.812278424	9.710679027	2.72E-22	1.47E-19
Phel_contig_10001	136.2244121	1.627110854	0.605546763	2.687011066	0.007209456	0.04316285
Phel_contig_10005	51.5511935	-2.840553887	1.011902574	-2.807141675	0.004998325	0.032717
Phel_contig_10010	8.734205652	2.90002034	0.91698105	3.162573905	0.00156381	0.013451135
Phel_contig_10013	189.7859944	-2.077401423	0.511661542	-4.060108595	4.90E-05	0.000838466
Phel_contig_10045	50.23880381	3.446399635	0.811006268	4.249535139	2.14E-05	0.000419631
Phel_contig_1005	3425.161428	-1.734033783	0.424918444	-4.08086259	4.49E-05	0.0007787
Phel_contig_10050	281.3086796	-1.602558707	0.395195096	-4.055107776	5.01E-05	0.00085189
Phel_contig_10058	24.60459829	2.923221466	1.062419046	2.751476902	0.00593272	0.037346628
Phel_contig_1006	78.30485395	-2.140057216	0.529845432	-4.039021735	5.37E-05	0.000899029
Phel_contig_10064	146.509766	2.114898323	0.778497974	2.716639469	0.00659484	0.040446981
Phel_contig_10065	28.40836299	2.507427017	0.671298933	3.735186955	0.000187576	0.002514237
Phel_contig_10088	26.90960141	-3.943497594	0.890023835	-4.430777514	9.39E-06	0.000210017
Phel_contig_10091	35.27875086	-2.504921047	0.875852883	-2.859979223	0.004236688	0.028932399
Phel_contig_10092	299.826638	-1.769158073	0.437741859	-4.04155563	5.31E-05	0.000892134
Phel_contig_10095	25.98151604	-2.829088905	0.75160514	-3.764062745	0.000167175	0.002309558
Phel_contig_10096	133.1348584	2.009385944	0.670765043	2.995662884	0.00273849	0.020566755
Phel_contig_10101	8.11907673	4.880043835	1.30372912	3.743142468	0.000181733	0.00246343
Phel_contig_10104	564.4350278	-2.084027231	0.550958973	-3.782545224	0.000155233	0.002172355
Phel_contig_10111	79.88844901	-1.328910346	0.471887822	-2.816157326	0.004860186	0.032040197
Phel_contig_10123	20.5437082	-2.452071313	0.775174853	-3.163249304	0.001560187	0.013436011
Phel_contig_10131	231.7361165	-1.703729601	0.641311038	-2.656635394	0.007892475	0.046359126
Phel_contig_10136	49.03435554	1.455593474	0.512363686	2.840938018	0.004498105	0.030174034
Phel_contig_10138	1183.177346	-1.434663746	0.505997871	-2.835315774	0.004578041	0.030586807
Phel_contig_1014	79.77227063	2.742048015	0.783895584	3.497976099	0.000468803	0.005264776
Phel_contig_10155	119.9806258	1.537548711	0.506991993	3.03268835	0.002423858	0.018805028
Phel_contig_10156	243.7983608	-1.739604424	0.480528024	-3.620193488	0.000294383	0.003643029
Phel_contig_10157	457.96588	-2.190633759	0.468017088	-4.680670464	2.86E-06	7.68E-05
Phel_contig_10159	333.2296842	-1.729765275	0.412096954	-4.197471636	2.70E-05	0.000512927
Phel_contig_10160	163.3583166	-1.362441051	0.474890566	-2.868957922	0.004118266	0.028299414
Phel_contig_10161	47.7332349	-2.556599255	0.799662899	-3.197096251	0.001388186	0.012282774
Phel_contig_10165	435.0718347	3.272256855	0.543078033	6.025389823	1.69E-09	1.08E-07
Phel_contig_10172	49.64746307	-2.47453829	0.62692655	-3.947094427	7.91E-05	0.001245794
Phel_contig_10178	712.2982163	-2.598510827	0.526028111	-4.939870652	7.82E-07	2.49E-05
Phel_contig_10182	17.34311136	3.773287752	1.213867879	3.108483072	0.001880504	0.015544454
Phel_contig_1019	1731.734123	1.682010163	0.46812988	3.593041662	0.00032684	0.003936476
Phel_contig_10198	95.48833047	1.8184155	0.495741604	3.668071201	0.000244387	0.003137536
Phel_contig_10208	26.84794209	4.181478981	0.829518091	5.040853272	4.63E-07	1.56E-05
Phel_contig_1021	738.986275	2.985396341	0.553399419	5.394650295	6.87E-08	2.95E-06
Phel_contig_10214	272.2051712	-1.855789655	0.41797329	-4.439971882	9.00E-06	0.000202289
Phel_contig_10224	17.2754195	3.07489003	0.815186964	3.772005892	0.00016194	0.002250881
Phel_contig_1023	175.4331989	-1.107004352	0.403478653	-2.743650361	0.006076021	0.037910654
Phel_contig_10235	238.8966444	-1.814441641	0.466947509	-3.885750769	0.000102014	0.001530708
Phel_contig_10244	44.59321505	2.884736196	0.737721909	3.91033011	9.22E-05	0.001412425
Phel_contig_10247	86.16896306	1.59835379	0.540639715	2.956412093	0.003112409	0.022696534
Phel_contig_10256	29.02941339	-2.296245015	0.830712172	-2.764188481	0.005706457	0.036339348
Phel_contig_10261	66.04621535	2.591024719	0.758245947	3.417129665	0.000632851	0.006670253
Phel_contig_10262	73.6835986	1.958370928	0.570479567	3.432850259	0.000597272	0.006385572
Phel_contig_10263	177.2031636	1.267055562	0.456294919	2.776834692	0.005489109	0.035225178
Phel_contig_10267	137.5046089	2.535740392	0.686957952	3.691259975	0.000223146	0.002918592
Phel_contig_1027	4012.260019	1.552884932	0.408069835	3.80543916	0.000141553	0.002017501
Phel_contig_10279	62.54523718	2.379793702	0.76769607	3.099916484	0.001935752	0.015927569
Phel_contig_10295	261.1251319	1.58537729	0.560620271	2.82789862	0.004685464	0.03113125
Phel_contig_10304	15.58279833	2.710542468	0.754293872	3.593483348	0.000326287	0.003934192
Phel_contig_1031	13970.33681	-2.459616286	0.563774211	-4.362768356	1.28E-05	0.000274202
Phel_contig_10315	13.66945765	-2.951726912	0.875887217	-3.369985149	0.000751722	0.007589937
Phel_contig_10324	18.75135612	3.312671767	0.845309334	3.918887006	8.90E-05	0.001372952
Phel_contig_10335	45.89753863	4.09925974	0.909613632	4.506594443	6.59E-06	0.000152888
Phel_contig_10336	100.3278223	1.920882199	0.569834645	3.370946672	0.000749104	0.00757766
Phel_contig_10341	14.67338102	-5.169628182	1.192451521	-4.335294214	1.46E-05	0.000303502
Phel_contig_10344	129.7395427	1.652418228	0.5466555	3.022778014	0.002504659	0.019293464
Phel_contig_10349	300.2424998	-2.732830679	0.448997751	-6.086513073	1.15E-09	7.79E-08
Phel_contig_10373	22.24981369	4.531437146	1.060836447	4.271570005	1.94E-05	0.000387253
Phel_contig_10383	45.09733283	3.746903851	1.00304585	3.735525998	0.000187323	0.002513971
Phel_contig_1039	1040.991152	2.625378284	0.657086442	3.995483875	6.46E-05	0.001045725
Phel_contig_10393	14.27900444	-2.722149717	0.868229123	-3.135289575	0.001716845	0.014552486
Phel_contig_10394	6.77672304	-3.054964592	1.155873165	-2.64299292	0.008217675	0.047833866
Phel_contig_10397	17.29009115	2.881321297	0.884909759	3.25606229	0.00112969	0.010458099
Phel_contig_10408	152.7367276	-1.765565338	0.521572997	-3.385078114	0.00071158	0.007286782
Phel_contig_10414	82.06573424	1.721846496	0.585937943	2.9386158	0.003296815	0.023658013
Phel_contig_10423	7.228653434	3.188815988	1.199809372	2.657768861	0.007865982	0.046247694
Phel_contig_10438	134.2762105	-1.111366454	0.422116262	-2.632844441	0.008467312	0.048891825
Phel_contig_1044	414.1027443	-2.010052273	0.510784665	-3.935224395	8.31E-05	0.001295781
Phel_contig_10449	11.02478934	-4.643684295	1.24542528	-3.728593252	0.000192552	0.002566603
Phel_contig_1045	171.858195	1.240510197	0.407019924	3.047787401	0.00230533	0.018119773
Phel_contig_10459	103.2202383	1.445032115	0.452807996	3.191268988	0.001416493	0.012456725
Phel_contig_10460	374.9709186	-2.45639845	0.741995547	-3.310529907	0.000931195	0.009002385
Phel_contig_1047	32.12181563	1.629052478	0.556980786	2.924791155	0.003446875	0.02450695
Phel_contig_10487	8.961220569	-3.21998802	1.193632387	-2.697637944	0.006983335	0.042242136
Phel_contig_1049	324.790717	1.708620151	0.649793133	2.629483238	0.008551475	0.049272457
Phel_contig_105	119538.8116	2.073278685	0.784176804	2.64389188	0.008195883	0.047750477
Phel_contig_10506	53.5107915	1.69227215	0.525009011	3.2233202	0.001267138	0.011396584
Phel_contig_10517	243.3457672	-1.325719982	0.465960561	-2.84513346	0.004439282	0.029872178
Phel_contig_10524	94.86608873	-2.151652428	0.815078779	-2.639809162	0.008295272	0.048168758
Phel_contig_10536	79.40891853	-1.547424257	0.520316358	-2.974006549	0.002939388	0.021750465
Phel_contig_10537	17.01904504	6.631488728	1.171643959	5.659986276	1.51E-08	7.73E-07
Phel_contig_10538	60.12067034	2.075993006	0.761825609	2.725023917	0.006429683	0.03961396
Phel_contig_1054	1097.753963	-1.564099702	0.360794989	-4.335148077	1.46E-05	0.000303502
Phel_contig_1056	4973.570268	1.433856492	0.459564775	3.120031323	0.001808318	0.015063085
Phel_contig_10569	35.825916	2.108329475	0.703547517	2.996712266	0.002729082	0.020510354
Phel_contig_10574	34.07173023	1.881525115	0.647258036	2.90691658	0.003650105	0.025706592
Phel_contig_10582	346.8494935	-1.226068175	0.370655836	-3.307834533	0.000940203	0.009061095
Phel_contig_10583	63.34834655	-1.494580793	0.521209857	-2.867522117	0.004136999	0.028395214
Phel_contig_10590	46.21122699	4.329318307	0.804867836	5.378918268	7.49E-08	3.17E-06
Phel_contig_106	1599.038449	3.518851883	0.667209432	5.273984022	1.33E-07	5.21E-06
Phel_contig_1060	465.9704863	5.124443378	0.683314384	7.499393392	6.41E-14	9.62E-12
Phel_contig_10601	167.8509617	-1.089239685	0.384119164	-2.835681702	0.004572799	0.030580154
Phel_contig_10606	127.7846331	1.51350035	0.453808837	3.335105504	0.00085267	0.00838964
Phel_contig_10610	44.89115637	2.346162959	0.651208873	3.602781005	0.000314831	0.003836745
Phel_contig_10616	88.96971198	3.05744033	0.659500724	4.635992378	3.55E-06	9.10E-05
Phel_contig_1062	254.5085321	-2.713219153	0.558096811	-4.861556455	1.16E-06	3.54E-05
Phel_contig_10621	40.57624203	2.94359879	0.564065652	5.218539328	1.80E-07	6.76E-06
Phel_contig_10629	165.4157537	-1.325890222	0.444056888	-2.985856673	0.002827851	0.021076712
Phel_contig_10633	118.0305794	-1.570942403	0.454663371	-3.455176956	0.000549932	0.0060012
Phel_contig_1064	2112.751328	1.130847038	0.372194054	3.038326445	0.002378961	0.018543365
Phel_contig_10645	891.6123937	-2.336469117	0.501180178	-4.661934408	3.13E-06	8.27E-05
Phel_contig_1065	7243.013919	-3.83095909	0.495965554	-7.724244279	1.13E-14	1.87E-12
Phel_contig_10654	190.5672094	-2.404906196	0.513304543	-4.68514497	2.80E-06	7.54E-05
Phel_contig_1066	5803.291892	6.759281585	0.769751886	8.781117275	1.62E-18	5.14E-16
Phel_contig_1067	53.24979675	2.614086833	0.726876201	3.596330199	0.000322738	0.003898261
Phel_contig_10674	63.75521094	2.879445326	0.630938075	4.56375267	5.02E-06	0.000121442
Phel_contig_10682	45.521657	2.26037079	0.768712907	2.940461607	0.003277236	0.023556634
Phel_contig_10685	16.0595204	5.105394358	1.211468937	4.214218128	2.51E-05	0.000478417
Phel_contig_10686	16.77071309	6.813451245	1.151568379	5.916671009	3.29E-09	1.98E-07
Phel_contig_10688	45.45374395	2.091258306	0.600558026	3.48219192	0.000497327	0.005510639
Phel_contig_107	6706.184534	2.558915059	0.672567346	3.804697142	0.000141978	0.002022224
Phel_contig_1070	2881.134623	1.600009385	0.545287708	2.934248037	0.003343569	0.023898278
Phel_contig_10702	226.3535877	-1.513361755	0.413168347	-3.662821137	0.000249453	0.00318611
Phel_contig_1071	695.3477661	2.025165455	0.536561866	3.77433728	0.000160434	0.002233562
Phel_contig_10714	916.5261558	-1.338302745	0.461870203	-2.897573253	0.003760619	0.02630828
Phel_contig_10716	64.42784058	-1.245303095	0.45795828	-2.71925009	0.006543012	0.04019757
