"condition" "type"
"Coulter" "paired-end"
"Coulter" "paired-end"
"Coulter" "paired-end"
"Coulter" "paired-end"
"Coulter" "paired-end"
"Coulter" "paired-end"
"Issaquah" "paired-end"
"Issaquah" "paired-end"
"Issaquah" "paired-end"
"Issaquah" "paired-end"
"Issaquah" "paired-end"
"Issaquah" "paired-end"
"Jenkins" "paired-end"
"Jenkins" "paired-end"
"Jenkins" "paired-end"
"Jenkins" "paired-end"
"Jenkins" "paired-end"
"Jenkins" "paired-end"
"Swamp" "paired-end"
"Swamp" "paired-end"
"Swamp" "paired-end"
"Swamp" "paired-end"
"Swamp" "paired-end"
"Swamp" "paired-end"
