Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
A.1	58.8344512415	47.0	150.0	14188117.0	58.3333333333
A.2	39.5120420456	47.0	150.0	14188117.0	58.3333333333
B.1	74.5883023158	49.0	150.0	16254289.0	41.6666666667
B.2	66.9177017501	49.0	150.0	16254289.0	41.6666666667
C.1	77.6619305483	48.0	150.0	16358360.0	41.6666666667
C.2	70.3814786626	49.0	150.0	16358360.0	41.6666666667
D.1	78.2200080632	48.0	150.0	15648595.0	41.6666666667
D.2	71.7520782441	49.0	150.0	15648595.0	41.6666666667
E.1	75.0256564265	49.0	150.0	15805620.0	41.6666666667
E.2	67.774171579	50.0	150.0	15805620.0	41.6666666667
F.1	77.5708794943	48.0	150.0	21709453.0	41.6666666667
F.2	69.543749729	49.0	150.0	21709453.0	41.6666666667
G.1	77.9739043408	48.0	150.0	16509329.0	41.6666666667
G.2	70.8108854649	48.0	150.0	16509329.0	33.3333333333
H.1	76.0023061729	49.0	150.0	15816920.0	41.6666666667
H.2	69.1618006208	49.0	150.0	15816920.0	41.6666666667
I.1	75.3406235247	49.0	150.0	21348992.0	41.6666666667
I.2	68.7199561285	50.0	150.0	21348992.0	33.3333333333
J.1	76.6030526035	49.0	150.0	17779840.0	41.6666666667
J.2	70.2585795546	49.0	150.0	17779840.0	33.3333333333
K.1	73.052636971	49.0	150.0	16432126.0	41.6666666667
K.2	66.4314190362	49.0	150.0	16432126.0	41.6666666667
L.1	75.8942101876	48.0	150.0	16849948.0	41.6666666667
L.2	70.3138956441	49.0	150.0	16849948.0	33.3333333333
M.1	75.8181552069	48.0	150.0	15841289.0	41.6666666667
M.2	67.0922856694	50.0	150.0	15841289.0	41.6666666667
N.1	73.8161014657	49.0	150.0	18548306.0	41.6666666667
N.2	66.1283095919	50.0	150.0	18548306.0	41.6666666667
O.1	74.3287375929	48.0	150.0	16285961.0	41.6666666667
O.2	66.8512003172	48.0	150.0	16285961.0	41.6666666667
P.1	75.7783433064	48.0	150.0	14726854.0	41.6666666667
P.2	69.2661335526	49.0	150.0	14726854.0	41.6666666667
Q.1	77.2181455356	49.0	150.0	18460544.0	41.6666666667
Q.2	70.6809819308	49.0	150.0	18460544.0	33.3333333333
R.1	74.0252954361	49.0	150.0	16891058.0	41.6666666667
R.2	66.6489264458	50.0	150.0	16891058.0	41.6666666667
S.1	75.8895102315	49.0	150.0	15824914.0	41.6666666667
S.2	68.740190324	49.0	150.0	15824914.0	33.3333333333
T.1	76.3133663658	48.0	150.0	18037170.0	41.6666666667
T.2	69.4974689966	49.0	150.0	18037170.0	33.3333333333
U.1	73.1171437142	49.0	150.0	15702314.0	41.6666666667
U.2	64.2117250684	51.0	150.0	15702314.0	41.6666666667
V.1	77.5098157579	48.0	150.0	24749848.0	41.6666666667
V.2	68.1610988717	50.0	150.0	24749848.0	41.6666666667
W.1	77.771345044	48.0	150.0	16366840.0	41.6666666667
W.2	70.1565005099	48.0	150.0	16366840.0	41.6666666667
X.1	73.436333842	48.0	150.0	16200512.0	41.6666666667
X.2	65.2393767357	50.0	150.0	16200512.0	41.6666666667
