term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0003824,catalytic activity,0.6930,2.203,7.054,7.516,-1.4412,0.996,0,3824,0
GO:0004866,endopeptidase inhibitor activity,0.0008,-0.038,8.144,4.598,-7.6576,0.972,0,4866,0
GO:0004867,serine-type endopeptidase inhibitor activity,0.0003,null,null,4.155,-1.0922,0.972,0.932,4866,1
GO:0005344,oxygen transporter activity,0.0004,-0.466,-0.917,4.266,-2.394,0.98,0,5344,0
GO:0015078,hydrogen ion transmembrane transporter activity,0.0191,null,null,5.956,-1.3915,0.98,0.411,5344,1
GO:0009055,electron carrier activity,0.0249,2.479,0.473,6.072,-1.8926,0.986,0,9055,0
GO:0016620,"oxidoreductase activity, NAD or NADP as acceptor",0.0079,-4.374,6.277,5.571,-5.5513,0.904,0,16620,0
GO:0034604,pyruvate dehydrogenase (NAD+) activity,0.0001,null,null,3.74,-1.7409,0.921,0.657,16620,1
GO:0004029,aldehyde dehydrogenase (NAD) activity,0.0004,null,null,4.302,-5.9747,0.916,0.725,16620,1
GO:0031715,C5L2 anaphylatoxin chemotactic receptor binding,0.0000,3.218,-3.433,1.568,-6.9355,0.874,0,31715,0
GO:0008009,chemokine activity,0.0001,null,null,3.487,-3.5129,0.846,0.727,31715,1
GO:0048020,CCR chemokine receptor binding,0.0000,null,null,2.45,-2.257,0.859,0.884,31715,1
GO:0034987,immunoglobulin receptor binding,0.0000,null,null,2.152,-1.3877,0.878,0.407,31715,1
GO:0005172,vascular endothelial growth factor receptor binding,0.0000,null,null,2.446,-1.0431,0.866,0.752,31715,1
GO:0031731,CCR6 chemokine receptor binding,0.0000,null,null,1.681,-1.4289,0.868,0.817,31715,1
GO:0032216,glucosaminyl-phosphotidylinositol O-acyltransferase activity,0.0000,5.612,4.15,0.903,-2.3344,0.762,0.011,32216,0
GO:0004776,succinate-CoA ligase (GDP-forming) activity,0.0000,-4.111,-3.614,2.025,-3.8827,0.959,0.013,4776,0
GO:0004775,succinate-CoA ligase (ADP-forming) activity,0.0007,null,null,4.533,-1.7796,0.953,0.714,4776,1
GO:0004613,phosphoenolpyruvate carboxykinase (GTP) activity,0.0001,-0.927,-6.37,3.685,-1.7041,0.949,0.016,4613,0
GO:0016831,carboxy-lyase activity,0.0092,null,null,5.636,-1.4942,0.94,0.588,4613,1
GO:0004053,arginase activity,0.0001,5.552,-4.07,3.824,-2.5131,0.964,0.016,4053,0
GO:0005542,folic acid binding,0.0001,-1.801,-2.414,3.711,-3.4855,0.947,0.022,5542,0
GO:0031406,carboxylic acid binding,0.0089,null,null,5.623,-3.0716,0.939,0.676,5542,1
GO:0070026,nitric oxide binding,0.0000,-2.21,2.759,1.851,-1.4289,0.972,0.023,70026,0
GO:0016829,lyase activity,0.0449,0.33,6.304,6.327,-1.2259,0.962,0.028,16829,0
GO:0003823,antigen binding,0.0006,0.7,8.982,4.484,-2.9727,0.967,0.032,3823,0
GO:0019825,oxygen binding,0.0007,3.68,7.873,4.546,-2.6974,0.967,0.036,19825,0
