term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,immune system process,0.0063,-0.877,6.525,5.493,-3.4202,0.992,0,2376,0
GO:0006957,"complement activation, alternative pathway",0.0000,5.128,-1.674,1.892,-17.8928,0.609,0,6957,0
GO:0001934,positive regulation of protein phosphorylation,0.0004,null,null,4.287,-1.9074,0.647,0.879,6957,1
GO:0045860,positive regulation of protein kinase activity,0.0003,null,null,4.117,-1.4247,0.652,0.951,6957,1
GO:0001970,positive regulation of activation of membrane attack complex,0.0000,null,null,1.556,-5.9957,0.577,0.528,6957,1
GO:1900153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.0000,null,null,2.501,-1.3328,0.703,0.812,6957,1
GO:0030449,regulation of complement activation,0.0007,null,null,4.525,-8.1512,0.46,0.996,6957,1
GO:0001798,positive regulation of type IIa hypersensitivity,0.0000,null,null,1.949,-5.1141,0.616,0.763,6957,1
GO:0050776,regulation of immune response,0.0027,null,null,5.12,-1.5439,0.591,0.886,6957,1
GO:0008635,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,0.0000,null,null,2.26,-2.0539,0.669,0.882,6957,1
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,0.0001,null,null,3.726,-1.9753,0.584,0.823,6957,1
GO:0043547,positive regulation of GTPase activity,0.0013,null,null,4.811,-2.5247,0.695,0.843,6957,1
GO:0070371,ERK1 and ERK2 cascade,0.0001,null,null,3.716,-2.8381,0.663,0.804,6957,1
GO:0070374,positive regulation of ERK1 and ERK2 cascade,0.0001,null,null,3.546,-4.699,0.548,0.578,6957,1
GO:0010951,negative regulation of endopeptidase activity,0.0008,null,null,4.616,-4.9066,0.714,0.629,6957,1
GO:0045087,innate immune response,0.0014,null,null,4.832,-8.8268,0.68,0.801,6957,1
GO:0002250,adaptive immune response,0.0007,null,null,4.561,-1.0064,0.707,0.804,6957,1
GO:0002248,connective tissue replacement involved in inflammatory response wound healing,0.0000,null,null,1.978,-1.0816,0.729,0.756,6957,1
GO:0007596,blood coagulation,0.0002,null,null,3.868,-3.0026,0.626,0.591,6957,1
GO:0030168,platelet activation,0.0001,null,null,3.523,-1.2132,0.607,0.954,6957,1
GO:0030193,regulation of blood coagulation,0.0001,null,null,3.354,-2.454,0.594,0.935,6957,1
GO:0031638,zymogen activation,0.0001,null,null,3.84,-1.4512,0.914,0.534,6957,1
GO:0031639,plasminogen activation,0.0001,null,null,3.643,-2.5349,0.912,0.919,6957,1
GO:0051603,proteolysis involved in cellular protein catabolic process,0.0022,null,null,5.036,-1.1275,0.868,0.715,6957,1
GO:0006958,"complement activation, classical pathway",0.0000,null,null,2.615,-17.7352,0.592,0.579,6957,1
GO:0006955,immune response,0.0038,null,null,5.277,-5.8928,0.685,0.829,6957,1
GO:0006956,complement activation,0.0007,null,null,4.539,-14.857,0.508,0.765,6957,1
GO:0006954,inflammatory response,0.0010,null,null,4.694,-6.382,0.775,0.507,6957,1
GO:0000186,activation of MAPKK activity,0.0000,null,null,3.246,-1.2207,0.561,0.84,6957,1
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,0.0001,null,null,3.357,-2.9799,0.634,0.82,6957,1
GO:0045745,positive regulation of G-protein coupled receptor protein signaling pathway,0.0000,null,null,2.757,-4.4486,0.617,0.696,6957,1
GO:0045732,positive regulation of protein catabolic process,0.0001,null,null,3.544,-1.4044,0.685,0.71,6957,1
GO:0007160,cell-matrix adhesion,0.0002,-3.09,5.583,3.867,-2.4539,0.973,0,7160,0
GO:0007155,cell adhesion,0.0056,null,null,5.448,-1.5846,0.972,0.623,7160,1
GO:0008152,metabolic process,0.8218,7.02,3.842,7.612,-4.6517,0.998,0,8152,0
GO:0032981,mitochondrial respiratory chain complex I assembly,0.0000,0.865,1.725,2.816,-4.4168,0.921,0,32981,0
GO:0051258,protein polymerization,0.0011,null,null,4.725,-1.2906,0.917,0.616,32981,1
GO:0051289,protein homotetramerization,0.0000,null,null,3.256,-1.6228,0.929,0.48,32981,1
GO:0008637,apoptotic mitochondrial changes,0.0001,null,null,3.462,-1.0525,0.835,0.731,32981,1
GO:0042407,cristae formation,0.0000,null,null,2.356,-1.1607,0.893,0.652,32981,1
GO:0006461,protein complex assembly,0.0056,null,null,5.448,-1.0334,0.91,0.856,32981,1
GO:0070125,mitochondrial translational elongation,0.0000,null,null,2.81,-1.0411,0.842,0.682,32981,1
GO:0019835,cytolysis,0.0019,0.397,5.892,4.963,-3.3307,0.967,0.016,19835,0
GO:0032920,putrescine acetylation,0.0000,-4.448,4.051,1.398,-1.1866,0.923,0.018,32920,0
GO:0032918,spermidine acetylation,0.0000,null,null,1.519,-1.1866,0.923,0.994,32920,1
GO:0032919,spermine acetylation,0.0000,null,null,1.447,-1.1866,0.924,0.984,32920,1
GO:0046204,nor-spermidine metabolic process,0.0000,null,null,1.491,-1.1866,0.932,0.477,32920,1
GO:0009447,putrescine catabolic process,0.0001,null,null,3.821,-1.1307,0.899,0.668,32920,1
GO:0007568,aging,0.0001,-2.67,1.501,3.798,-3.5884,0.916,0.025,7568,0
GO:0008283,cell proliferation,0.0011,-1.812,4.182,4.717,-2.4571,0.947,0.036,8283,0
GO:0031086,"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay",0.0000,-0.153,-8.555,1.826,-2.7309,0.917,0.056,31086,0
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.0000,null,null,3.207,-1.2318,0.906,0.749,31086,1
GO:0006099,tricarboxylic acid cycle,0.0048,-4.667,-4.42,5.381,-6.0545,0.814,0.06,6099,0
GO:0009060,aerobic respiration,0.0137,null,null,5.832,-2.9631,0.871,0.77,6099,1
GO:0009069,serine family amino acid metabolic process,0.0064,null,null,5.505,-1.3286,0.82,0.421,6099,1
GO:0006547,histidine metabolic process,0.0045,null,null,5.348,-1.0816,0.823,0.578,6099,1
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",0.0000,null,null,3.305,-1.645,0.86,0.801,6099,1
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.0011,null,null,4.724,-2.9544,0.833,0.608,6099,1
GO:0006102,isocitrate metabolic process,0.0001,null,null,3.811,-1.355,0.867,1.101,6099,1
GO:0022904,respiratory electron transport chain,0.0088,null,null,5.642,-2.427,0.873,0.821,6099,1
GO:0006629,lipid metabolic process,0.0309,-6.569,-0.478,6.187,-2.8044,0.906,0.128,6629,0
GO:0010866,regulation of triglyceride biosynthetic process,0.0000,1.464,-5.677,2.675,-5.9957,0.802,0.133,10866,0
GO:0046327,glycerol biosynthetic process from pyruvate,0.0000,null,null,1.623,-3.2668,0.872,0.831,10866,1
GO:0060696,regulation of phospholipid catabolic process,0.0000,null,null,2.09,-1.4235,0.786,0.633,10866,1
GO:0055088,lipid homeostasis,0.0001,4.222,-7.087,3.484,-3.5452,0.836,0.152,55088,0
GO:0042632,cholesterol homeostasis,0.0000,null,null,3.342,-1.2299,0.839,0.6,55088,1
GO:0001659,temperature homeostasis,0.0000,null,null,3.281,-1.1953,0.763,0.462,55088,1
GO:0006475,internal protein amino acid acetylation,0.0002,4.224,3.778,3.953,-2.9918,0.908,0.167,6475,0
GO:0043066,negative regulation of apoptotic process,0.0005,4.322,-6.152,4.365,-3.3449,0.729,0.186,43066,0
GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,0.0000,null,null,3.309,-1.8222,0.619,0.856,43066,1
GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,0.0000,null,null,2.936,-1.3778,0.62,0.643,43066,1
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,0.0001,null,null,3.537,-1.1258,0.658,0.895,43066,1
GO:1902172,regulation of keratinocyte apoptotic process,0.0000,null,null,1.826,-1.4235,0.815,0.737,43066,1
GO:0051402,neuron apoptotic process,0.0001,null,null,3.801,-1.7586,0.871,0.72,43066,1
GO:2000811,negative regulation of anoikis,0.0000,null,null,2.705,-1.3328,0.772,0.794,43066,1
GO:0061158,3'-UTR-mediated mRNA destabilization,0.0000,null,null,1.633,-1.4775,0.785,0.427,43066,1
GO:0043524,negative regulation of neuron apoptotic process,0.0001,null,null,3.612,-1.0064,0.747,0.962,43066,1
GO:0030308,negative regulation of cell growth,0.0001,null,null,3.626,-2.3964,0.752,0.542,43066,1
GO:0001558,regulation of cell growth,0.0002,null,null,4.015,-1.1109,0.779,0.891,43066,1
GO:0006915,apoptotic process,0.0025,null,null,5.089,-1.8961,0.855,0.861,43066,1
GO:0043434,response to peptide hormone,0.0001,7.471,-2.365,3.823,-4.2226,0.711,0.199,43434,0
GO:0071223,cellular response to lipoteichoic acid,0.0000,null,null,2.442,-1.7306,0.728,0.821,43434,1
GO:0071222,cellular response to lipopolysaccharide,0.0001,null,null,3.662,-1.0064,0.684,0.948,43434,1
