term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0033280,"response to vitamin D",0.001%, 5.816,-0.579,2.787,-2.8441,0.787,0.000,33280,0
GO:0042359,"vitamin D metabolic process",0.001%, 3.083,-5.180,2.723,-3.7447,0.692,0.000,42359,0
GO:0042369,"vitamin D catabolic process",0.000%,null,null,1.806,-2.2461,0.693,0.859,42359,1
GO:0051028,"mRNA transport",0.053%, 2.743, 6.501,4.422,-2.0116,0.749,0.000,51028,0
GO:0001649,"osteoblast differentiation",0.013%,-5.275,-3.607,3.806,-1.4005,0.824,0.028,1649,0
GO:0045727,"positive regulation of translation",0.047%,-4.037, 5.636,4.371,-1.5810,0.604,0.033,45727,0
GO:1900182,"positive regulation of protein localization to nucleus",0.005%,null,null,3.381,-1.1158,0.609,0.617,45727,1
GO:0006956,"complement activation",0.069%,null,null,4.539,-1.0602,0.541,0.663,45727,1
GO:0055114,"oxidation-reduction process",15.044%,-1.261,-5.328,6.874,-2.3335,0.827,0.084,55114,0
GO:0010467,"gene expression",16.702%,-5.608, 1.821,6.920,-1.1632,0.768,0.159,10467,0
GO:0006397,"mRNA processing",0.373%,-4.920, 3.864,5.269,-1.3313,0.649,0.225,6397,0
GO:0030490,"maturation of SSU-rRNA",0.001%,null,null,2.719,-1.0870,0.699,0.408,6397,1
GO:0008380,"RNA splicing",0.097%,null,null,4.683,-1.2437,0.661,0.556,6397,1
GO:0006810,"transport",17.382%, 3.757, 5.234,6.937,-1.0331,0.789,0.310,6810,0
GO:0035754,"B cell chemotaxis",0.000%, 5.094, 1.624,1.944,-1.8089,0.677,0.344,35754,0
