term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",0.625%,-0.207, 4.667,5.493,-3.0339,0.990,0.000,2376,0
GO:0006636,"unsaturated fatty acid biosynthetic process",0.007%,-0.094,-6.831,3.519,-6.9626,0.816,0.000,6636,0
GO:0008610,"lipid biosynthetic process",2.206%,null,null,6.040,-2.1589,0.815,0.787,6636,1
GO:0019367,"fatty acid elongation, saturated fatty acid",0.000%,null,null,2.246,-1.7360,0.829,0.864,6636,1
GO:0008299,"isoprenoid biosynthetic process",0.463%,null,null,5.362,-1.4450,0.808,0.714,6636,1
GO:0006644,"phospholipid metabolic process",1.014%,null,null,5.703,-1.1006,0.800,0.801,6636,1
GO:0006631,"fatty acid metabolic process",0.867%,null,null,5.635,-3.1733,0.772,0.750,6636,1
GO:0006633,"fatty acid biosynthetic process",0.629%,null,null,5.496,-3.7496,0.765,0.649,6636,1
GO:0042761,"very long-chain fatty acid biosynthetic process",0.001%,null,null,2.476,-3.7305,0.834,0.465,6636,1
GO:0034625,"fatty acid elongation, monounsaturated fatty acid",0.000%,null,null,1.886,-4.3134,0.834,0.438,6636,1
GO:0034626,"fatty acid elongation, polyunsaturated fatty acid",0.000%,null,null,2.045,-4.2090,0.831,0.949,6636,1
GO:0008152,"metabolic process",82.183%,-1.394,-3.336,7.612,-4.2652,0.998,0.000,8152,0
GO:0019835,"cytolysis",0.185%,-1.221, 1.375,4.963,-3.7352,0.969,0.018,19835,0
GO:0030212,"hyaluronan metabolic process",0.003%, 5.195,-3.233,3.107,-2.8271,0.939,0.025,30212,0
GO:0006911,"phagocytosis, engulfment",0.001%, 5.376, 2.733,2.814,-2.7771,0.870,0.027,6911,0
GO:0006898,"receptor-mediated endocytosis",0.166%,null,null,4.917,-1.3884,0.923,0.703,6911,1
GO:0050766,"positive regulation of phagocytosis",0.002%,null,null,2.985,-1.4586,0.712,0.822,6911,1
GO:0002576,"platelet degranulation",0.001%,null,null,2.493,-2.7771,0.867,0.478,6911,1
GO:0007568,"aging",0.013%, 1.141, 0.428,3.798,-2.1868,0.907,0.031,7568,0
GO:0045444,"fat cell differentiation",0.011%,null,null,3.731,-1.0156,0.880,0.606,7568,1
GO:0045445,"myoblast differentiation",0.004%,null,null,3.271,-1.0577,0.885,0.443,7568,1
GO:0008283,"cell proliferation",0.105%, 0.930, 2.638,4.717,-1.0217,0.946,0.036,8283,0
GO:0035356,"cellular triglyceride homeostasis",0.000%,-7.449, 0.234,1.908,-6.1113,0.826,0.044,35356,0
GO:0055091,"phospholipid homeostasis",0.001%,null,null,2.520,-1.4206,0.850,0.884,35356,1
GO:0055089,"fatty acid homeostasis",0.001%,null,null,2.415,-2.9114,0.851,0.874,35356,1
GO:0055088,"lipid homeostasis",0.006%,null,null,3.484,-1.0961,0.849,0.626,35356,1
GO:0042593,"glucose homeostasis",0.010%,null,null,3.697,-1.5492,0.842,0.525,35356,1
GO:0042632,"cholesterol homeostasis",0.004%,null,null,3.342,-3.8996,0.838,0.830,35356,1
GO:0070328,"triglyceride homeostasis",0.002%,null,null,2.876,-1.9949,0.844,0.918,35356,1
GO:0071333,"cellular response to glucose stimulus",0.003%,null,null,3.227,-1.5982,0.661,0.944,35356,1
GO:0006629,"lipid metabolic process",3.094%, 3.208,-2.173,6.187,-4.7447,0.900,0.086,6629,0
GO:0070988,"demethylation",0.007%, 0.188,-1.362,3.544,-1.0788,0.934,0.086,70988,0
GO:0090305,"nucleic acid phosphodiester bond hydrolysis",2.508%,-4.373, 3.817,6.096,-1.0867,0.908,0.105,90305,0
GO:0019748,"secondary metabolic process",0.177%, 5.843,-1.093,4.944,-1.0765,0.923,0.115,19748,0
GO:0034255,"regulation of urea metabolic process",0.000%,-4.485, 0.029,1.591,-1.3138,0.837,0.118,34255,0
GO:0006725,"cellular aromatic compound metabolic process",33.051%,-0.459, 6.436,7.216,-2.2663,0.944,0.119,6725,0
GO:0006956,"complement activation",0.069%,-5.774, 1.291,4.539,-5.8962,0.582,0.157,6956,0
GO:1902255,"positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator",0.000%,null,null,2.053,-1.3138,0.688,0.808,6956,1
GO:0050921,"positive regulation of chemotaxis",0.005%,null,null,3.410,-1.2267,0.655,0.925,6956,1
GO:0030335,"positive regulation of cell migration",0.017%,null,null,3.932,-1.3266,0.690,0.771,6956,1
GO:0050900,"leukocyte migration",0.014%,null,null,3.828,-1.1246,0.776,0.827,6956,1
GO:2001238,"positive regulation of extrinsic apoptotic signaling pathway",0.004%,null,null,3.292,-1.3635,0.650,0.746,6956,1
GO:2001250,"positive regulation of ammonia assimilation cycle",0.000%,null,null,1.580,-1.3138,0.742,0.463,6956,1
GO:0010212,"response to ionizing radiation",0.010%,null,null,3.709,-1.1922,0.848,0.618,6956,1
GO:0032307,"negative regulation of prostaglandin secretion",0.000%,null,null,1.602,-1.4361,0.768,0.573,6956,1
GO:0050871,"positive regulation of B cell activation",0.004%,null,null,3.266,-1.1580,0.716,0.717,6956,1
GO:0050853,"B cell receptor signaling pathway",0.003%,null,null,3.096,-1.0180,0.649,0.703,6956,1
GO:0016062,"adaptation of rhodopsin mediated signaling",0.000%,null,null,1.863,-1.3138,0.725,0.477,6956,1
GO:0010666,"positive regulation of cardiac muscle cell apoptotic process",0.000%,null,null,2.158,-1.8999,0.778,0.494,6956,1
GO:0010664,"negative regulation of striated muscle cell apoptotic process",0.001%,null,null,2.481,-1.0788,0.783,0.940,6956,1
GO:2001202,"negative regulation of transforming growth factor-beta secretion",0.000%,null,null,0.903,-1.0235,0.721,0.653,6956,1
GO:0007257,"activation of JUN kinase activity",0.001%,null,null,2.852,-1.2216,0.635,0.803,6956,1
GO:0043066,"negative regulation of apoptotic process",0.047%,null,null,4.365,-1.7712,0.743,0.651,6956,1
GO:0043124,"negative regulation of I-kappaB kinase/NF-kappaB signaling",0.002%,null,null,3.058,-1.6536,0.671,0.551,6956,1
GO:0043123,"positive regulation of I-kappaB kinase/NF-kappaB signaling",0.011%,null,null,3.726,-1.0388,0.655,0.894,6956,1
GO:0001867,"complement activation, lectin pathway",0.000%,null,null,2.373,-1.8999,0.648,0.743,6956,1
GO:0002418,"immune response to tumor cell",0.001%,null,null,2.524,-3.3429,0.790,0.579,6956,1
GO:0050702,"interleukin-1 beta secretion",0.001%,null,null,2.755,-1.5236,0.791,0.765,6956,1
GO:0002357,"defense response to tumor cell",0.000%,null,null,1.748,-3.0453,0.835,0.918,6956,1
GO:0032489,"regulation of Cdc42 protein signal transduction",0.001%,null,null,2.751,-1.1431,0.723,0.530,6956,1
GO:2000778,"positive regulation of interleukin-6 secretion",0.000%,null,null,2.223,-2.0031,0.680,0.498,6956,1
GO:0070374,"positive regulation of ERK1 and ERK2 cascade",0.007%,null,null,3.546,-1.6705,0.622,0.682,6956,1
GO:2000213,"positive regulation of glutamate metabolic process",0.000%,null,null,1.623,-1.4361,0.741,0.953,6956,1
GO:0034142,"toll-like receptor 4 signaling pathway",0.003%,null,null,3.108,-2.0031,0.635,0.704,6956,1
GO:0072679,"thymocyte migration",0.000%,null,null,1.716,-1.3138,0.813,0.743,6956,1
GO:0002692,"negative regulation of cellular extravasation",0.000%,null,null,1.919,-1.2196,0.696,0.758,6956,1
GO:0048247,"lymphocyte chemotaxis",0.001%,null,null,2.731,-1.0217,0.673,0.867,6956,1
GO:0032024,"positive regulation of insulin secretion",0.002%,null,null,2.992,-1.0523,0.669,0.834,6956,1
GO:0045582,"positive regulation of T cell differentiation",0.004%,null,null,3.279,-1.1160,0.632,0.886,6956,1
GO:0071638,"negative regulation of monocyte chemotactic protein-1 production",0.000%,null,null,1.826,-1.9633,0.767,0.511,6956,1
GO:0072615,"interleukin-17 secretion",0.001%,null,null,2.770,-1.3138,0.793,0.808,6956,1
GO:0045087,"innate immune response",0.137%,null,null,4.832,-2.9666,0.726,0.801,6956,1
GO:0001771,"immunological synapse formation",0.000%,null,null,2.246,-2.7363,0.850,0.509,6956,1
GO:0051607,"defense response to virus",0.321%,null,null,5.203,-2.0795,0.689,0.891,6956,1
GO:0097192,"extrinsic apoptotic signaling pathway in absence of ligand",0.005%,null,null,3.402,-1.2975,0.715,0.880,6956,1
GO:0060326,"cell chemotaxis",0.016%,null,null,3.891,-1.1344,0.679,0.834,6956,1
GO:0060313,"negative regulation of blood vessel remodeling",0.000%,null,null,1.176,-1.1431,0.777,0.588,6956,1
GO:0032692,"negative regulation of interleukin-1 production",0.001%,null,null,2.601,-1.0788,0.748,0.909,6956,1
GO:0043314,"negative regulation of neutrophil degranulation",0.000%,null,null,1.881,-1.2196,0.620,0.658,6956,1
GO:0006957,"complement activation, alternative pathway",0.000%,null,null,1.892,-3.8297,0.663,0.703,6956,1
GO:0006958,"complement activation, classical pathway",0.001%,null,null,2.615,-5.2549,0.655,0.765,6956,1
GO:0006955,"immune response",0.380%,null,null,5.277,-2.5470,0.742,0.829,6956,1
GO:0032715,"negative regulation of interleukin-6 production",0.001%,null,null,2.823,-1.2975,0.744,0.818,6956,1
GO:0006935,"chemotaxis",0.336%,null,null,5.224,-1.2130,0.729,0.714,6956,1
GO:0032720,"negative regulation of tumor necrosis factor production",0.002%,null,null,2.979,-1.1260,0.742,0.859,6956,1
GO:0030593,"neutrophil chemotaxis",0.004%,null,null,3.270,-1.3669,0.656,0.578,6956,1
GO:0006915,"apoptotic process",0.247%,null,null,5.089,-1.4685,0.878,0.861,6956,1
GO:0019255,"glucose 1-phosphate metabolic process",0.000%, 6.581,-2.266,1.851,-1.1431,0.954,0.158,19255,0
GO:0043691,"reverse cholesterol transport",0.001%, 5.143, 4.465,2.663,-2.0719,0.895,0.159,43691,0
GO:0015908,"fatty acid transport",0.003%,null,null,3.221,-1.0217,0.888,0.637,43691,1
GO:0015917,"aminophospholipid transport",0.000%,null,null,0.477,-1.3138,0.910,0.487,43691,1
GO:0016192,"vesicle-mediated transport",0.381%, 2.791, 6.243,5.277,-2.0168,0.939,0.172,16192,0
GO:0018272,"protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine",0.000%,-3.093, 7.022,1.602,-1.1431,0.925,0.172,18272,0
GO:0019442,"tryptophan catabolic process to acetyl-CoA",0.000%, 3.809,-5.912,1.362,-3.6737,0.850,0.180,19442,0
GO:0009083,"branched-chain amino acid catabolic process",0.010%,null,null,3.708,-1.0577,0.853,0.408,19442,1
GO:0019441,"tryptophan catabolic process to kynurenine",0.029%,null,null,4.155,-3.3655,0.815,0.678,19442,1
GO:0035338,"long-chain fatty-acyl-CoA biosynthetic process",0.000%,null,null,1.255,-1.1580,0.929,0.413,19442,1
GO:0097053,"L-kynurenine catabolic process",0.004%,null,null,3.294,-1.2767,0.839,0.876,19442,1
GO:0006569,"tryptophan catabolic process",0.044%,null,null,4.339,-2.8634,0.822,0.973,19442,1
GO:0060356,"leucine import",0.000%, 3.842, 5.563,1.322,-1.4361,0.912,0.208,60356,0
GO:0055114,"oxidation-reduction process",15.044%, 1.501,-3.543,6.874,-9.4868,0.897,0.210,55114,0
GO:0040008,"regulation of growth",0.042%,-7.240, 1.217,4.317,-2.1454,0.854,0.220,40008,0
GO:0030308,"negative regulation of cell growth",0.008%,null,null,3.626,-2.2468,0.747,0.827,40008,1
GO:0090245,"axis elongation involved in somitogenesis",0.000%,null,null,2.276,-1.1431,0.851,0.700,40008,1
GO:0048843,"negative regulation of axon extension involved in axon guidance",0.001%,null,null,2.476,-1.3465,0.522,0.831,40008,1
GO:0006147,"guanine catabolic process",0.013%, 1.507,-5.851,3.809,-2.5119,0.873,0.223,6147,0
GO:0046098,"guanine metabolic process",0.013%,null,null,3.814,-1.0788,0.880,0.685,6147,1
GO:0051085,"chaperone mediated protein folding requiring cofactor",0.013%,-4.027, 6.123,3.815,-1.2767,0.921,0.226,51085,0
GO:0006103,"2-oxoglutarate metabolic process",0.010%, 2.709,-6.531,3.713,-1.2363,0.867,0.233,6103,0
GO:0006913,"nucleocytoplasmic transport",0.181%, 3.002, 4.799,4.954,-1.8898,0.922,0.243,6913,0
GO:0044524,"protein sulfhydration",0.000%,-2.779, 6.770,1.591,-1.1431,0.929,0.244,44524,0
GO:0006953,"acute-phase response",0.002%,-6.086,-4.202,3.048,-3.7595,0.824,0.246,6953,0
GO:0006954,"inflammatory response",0.099%,null,null,4.694,-2.8898,0.794,0.584,6953,1
GO:0040029,"regulation of gene expression, epigenetic",0.225%,-6.806, 1.956,5.049,-1.0217,0.829,0.247,40029,0
GO:0030521,"androgen receptor signaling pathway",0.003%,-6.815,-1.657,3.213,-2.2362,0.746,0.252,30521,0
GO:0038185,"intracellular bile acid receptor signaling pathway",0.000%,null,null,1.591,-1.3138,0.781,0.548,30521,1
GO:0030518,"intracellular steroid hormone receptor signaling pathway",0.007%,null,null,3.567,-1.1801,0.736,0.674,30521,1
GO:0007584,"response to nutrient",0.004%,-6.783,-3.967,3.349,-4.6990,0.800,0.256,7584,0
GO:0071222,"cellular response to lipopolysaccharide",0.009%,null,null,3.662,-3.4365,0.728,0.437,7584,1
GO:0006805,"xenobiotic metabolic process",0.067%,null,null,4.526,-1.1132,0.743,0.637,7584,1
GO:0042493,"response to drug",0.207%,null,null,5.013,-1.9364,0.772,0.526,7584,1
GO:0034341,"response to interferon-gamma",0.004%,null,null,3.253,-1.0044,0.700,0.679,7584,1
GO:0006855,"drug transmembrane transport",0.162%,null,null,4.906,-1.4052,0.694,0.645,7584,1
GO:0070672,"response to interleukin-15",0.000%,null,null,2.391,-1.0235,0.800,0.543,7584,1
GO:0071356,"cellular response to tumor necrosis factor",0.005%,null,null,3.431,-2.1490,0.755,0.697,7584,1
GO:0043627,"response to estrogen",0.006%,null,null,3.452,-1.1642,0.773,0.801,7584,1
GO:0034516,"response to vitamin B6",0.000%,null,null,1.602,-1.4361,0.802,0.609,7584,1
GO:0051384,"response to glucocorticoid",0.004%,null,null,3.276,-1.3451,0.777,0.759,7584,1
GO:2001275,"positive regulation of glucose import in response to insulin stimulus",0.000%,null,null,2.274,-1.1160,0.616,0.736,7584,1
GO:0071320,"cellular response to cAMP",0.002%,null,null,3.033,-1.1542,0.763,0.647,7584,1
GO:0045471,"response to ethanol",0.003%,null,null,3.234,-1.2404,0.788,0.596,7584,1
GO:0071347,"cellular response to interleukin-1",0.004%,null,null,3.306,-3.0773,0.760,0.634,7584,1
GO:0032496,"response to lipopolysaccharide",0.014%,null,null,3.834,-1.7719,0.746,0.948,7584,1
GO:0032570,"response to progesterone",0.001%,null,null,2.616,-1.0407,0.791,0.704,7584,1
GO:0070098,"chemokine-mediated signaling pathway",0.009%,null,null,3.645,-1.0293,0.659,0.726,7584,1
GO:0010804,"negative regulation of tumor necrosis factor-mediated signaling pathway",0.000%,null,null,2.350,-1.5615,0.633,0.871,7584,1
GO:0042742,"defense response to bacterium",0.075%,null,null,4.569,-1.4887,0.761,0.847,7584,1
GO:0014070,"response to organic cyclic compound",0.061%,null,null,4.480,-1.3857,0.757,0.699,7584,1
GO:0038183,"bile acid signaling pathway",0.000%,-7.370,-1.579,2.004,-1.2196,0.778,0.268,38183,0
GO:0034616,"response to laminar fluid shear stress",0.001%,-5.677,-3.892,2.455,-1.8999,0.857,0.269,34616,0
GO:0000729,"DNA double-strand break processing",0.001%,-6.189,-3.110,2.542,-1.2030,0.788,0.271,729,0
GO:0051289,"protein homotetramerization",0.004%, 5.630, 1.298,3.256,-2.2783,0.930,0.281,51289,0
GO:0034971,"histone H3-R17 methylation",0.000%,null,null,1.544,-1.0235,0.865,0.596,51289,1
GO:0032392,"DNA geometric change",0.428%,null,null,5.328,-1.0788,0.917,0.710,51289,1
GO:0033622,"integrin activation",0.001%,null,null,2.634,-1.8999,0.933,0.471,51289,1
GO:0043982,"histone H4-K8 acetylation",0.001%,null,null,2.714,-1.0217,0.848,0.670,51289,1
GO:0016574,"histone ubiquitination",0.003%,null,null,3.122,-1.2267,0.842,0.433,51289,1
GO:0007043,"cell-cell junction assembly",0.004%,null,null,3.323,-1.2512,0.895,0.409,51289,1
GO:0000209,"protein polyubiquitination",0.010%,null,null,3.682,-1.0165,0.911,0.691,51289,1
GO:0006544,"glycine metabolic process",0.250%, 2.235,-5.909,5.095,-2.9554,0.827,0.293,6544,0
GO:0071266,"'de novo' L-methionine biosynthetic process",0.059%,null,null,4.467,-1.6014,0.818,0.450,6544,1
GO:0035999,"tetrahydrofolate interconversion",0.102%,null,null,4.705,-2.0742,0.817,0.469,6544,1
GO:0009069,"serine family amino acid metabolic process",0.643%,null,null,5.505,-1.2196,0.821,0.547,6544,1
GO:0019346,"transsulfuration",0.000%,null,null,1.602,-1.3893,0.869,0.500,6544,1
GO:0006739,"NADP metabolic process",0.434%,null,null,5.334,-1.5615,0.834,0.567,6544,1
GO:0006743,"ubiquinone metabolic process",0.140%,null,null,4.844,-1.4361,0.842,0.796,6544,1
GO:0006563,"L-serine metabolic process",0.264%,null,null,5.118,-1.2030,0.826,0.841,6544,1
GO:0006084,"acetyl-CoA metabolic process",0.146%,null,null,4.861,-1.2267,0.912,0.584,6544,1
GO:0015827,"tryptophan transport",0.000%, 4.300, 5.311,1.699,-1.0788,0.910,0.321,15827,0
GO:0052695,"cellular glucuronidation",0.000%, 3.487,-5.484,2.045,-1.5615,0.873,0.325,52695,0
