term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0003713,"transcription coactivator activity",0.025%,-5.357, 2.283,4.077,-2.5178,0.957,0.000,3713,0
GO:0001190,"RNA polymerase II transcription factor binding transcription activator activity",0.003%,null,null,3.110,-1.0886,0.957,0.746,3713,1
GO:0003824,"catalytic activity",69.295%,-2.164, 7.263,7.516,-5.5436,0.992,0.000,3824,0
GO:0004867,"serine-type endopeptidase inhibitor activity",0.030%,-4.802, 4.641,4.155,-6.2950,0.939,0.000,4867,0
GO:0004866,"endopeptidase inhibitor activity",0.084%,null,null,4.598,-5.5638,0.938,0.932,4867,1
GO:0030294,"receptor signaling protein tyrosine kinase inhibitor activity",0.000%,null,null,1.623,-1.1389,0.947,0.582,4867,1
GO:0005044,"scavenger receptor activity",0.013%, 5.534, 0.802,3.782,-3.3161,0.958,0.000,5044,0
GO:0009922,"fatty acid elongase activity",0.000%,-3.308,-0.725,2.292,-5.2865,0.956,0.000,9922,0
GO:0022829,"wide pore channel activity",0.137%,-1.791,-7.411,4.811,-2.8184,0.949,0.000,22829,0
GO:0044822,"poly(A) RNA binding",0.135%, 6.850,-2.167,4.806,-4.3143,0.924,0.000,44822,0
GO:0004252,"serine-type endopeptidase activity",0.675%,-3.356,-3.085,5.504,-4.2411,0.911,0.013,4252,0
GO:0008236,"serine-type peptidase activity",1.044%,null,null,5.694,-1.4692,0.910,0.944,4252,1
GO:0004180,"carboxypeptidase activity",0.216%,null,null,5.010,-1.0425,0.921,0.610,4252,1
GO:0004745,"retinol dehydrogenase activity",0.001%,-7.351,-0.147,2.648,-3.4724,0.923,0.014,4745,0
GO:0016901,"oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor",0.136%,null,null,4.808,-1.0193,0.907,0.698,4745,1
GO:0004448,"isocitrate dehydrogenase activity",0.053%,null,null,4.403,-1.0193,0.910,0.641,4745,1
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",1.929%,null,null,5.960,-1.5159,0.896,0.474,4745,1
GO:0044540,"L-cystine L-cysteine-lyase (deaminating)",0.002%,-5.860, 5.414,2.951,-1.0746,0.967,0.014,44540,0
GO:0004658,"propionyl-CoA carboxylase activity",0.003%, 0.485, 6.364,3.181,-2.5034,0.913,0.015,4658,0
GO:0003989,"acetyl-CoA carboxylase activity",0.129%,null,null,4.784,-1.2559,0.902,0.778,4658,1
GO:0034186,"apolipoprotein A-I binding",0.000%, 5.804, 4.122,2.049,-2.8184,0.827,0.027,34186,0
GO:0016918,"retinal binding",0.000%,-3.580,-5.019,2.212,-1.5157,0.887,0.027,16918,0
GO:1902122,"chenodeoxycholic acid binding",0.000%,null,null,1.591,-1.3096,0.898,0.453,16918,1
GO:0019841,"retinol binding",0.000%,null,null,2.274,-1.2191,0.887,0.887,16918,1
GO:0016491,"oxidoreductase activity",14.657%,-2.954, 4.380,6.841,-4.6289,0.962,0.033,16491,0
GO:0008201,"heparin binding",0.013%,-0.147,-2.599,3.777,-3.5129,0.923,0.033,8201,0
GO:0031177,"phosphopantetheine binding",0.062%,null,null,4.464,-1.3193,0.875,0.525,8201,1
GO:0001786,"phosphatidylserine binding",0.001%,null,null,2.772,-1.0662,0.880,0.770,8201,1
GO:0009374,"biotin binding",0.000%,null,null,1.806,-1.7279,0.885,0.449,8201,1
GO:0003823,"antigen binding",0.064%,-0.336, 7.570,4.484,-1.1826,0.945,0.037,3823,0
GO:0005515,"protein binding",2.482%,-3.507, 6.418,6.070,-2.7018,0.936,0.051,5515,0
GO:0016787,"hydrolase activity",21.764%,-7.053, 3.311,7.013,-1.1378,0.963,0.065,16787,0
GO:0020037,"heme binding",1.765%, 1.384,-7.148,5.922,-2.1936,0.928,0.093,20037,0
GO:0005509,"calcium ion binding",0.365%, 4.288,-2.974,5.237,-1.7414,0.926,0.101,5509,0
GO:0004372,"glycine hydroxymethyltransferase activity",0.056%, 2.024, 4.994,4.425,-2.5173,0.946,0.118,4372,0
GO:0015020,"glucuronosyltransferase activity",0.003%,-3.989, 1.118,3.188,-2.3422,0.933,0.132,15020,0
GO:0008378,"galactosyltransferase activity",0.025%,null,null,4.078,-1.5219,0.933,0.546,15020,1
GO:0003831,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",0.000%,null,null,2.161,-1.8332,0.937,0.545,15020,1
GO:0008398,"sterol 14-demethylase activity",0.001%,-7.230,-1.729,2.547,-2.0241,0.940,0.140,8398,0
GO:0000980,"RNA polymerase II distal enhancer sequence-specific DNA binding",0.004%, 6.420,-4.505,3.267,-1.1826,0.934,0.143,980,0
GO:0004833,"tryptophan 2,3-dioxygenase activity",0.004%,-6.614,-3.144,3.293,-1.8332,0.937,0.151,4833,0
