Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
A.1_trimmed	57.5942814534	47.0	122.953803346	13733960.0	33.3333333333
A.2_trimmed	39.2564798823	46.0	111.607307976	12201628.0	16.6666666667
B.1_trimmed	73.017653872	48.0	129.268905831	16005406.0	25.0
B.2_trimmed	68.8231499435	48.0	126.716709831	15097813.0	33.3333333333
C.1_trimmed	75.3876187666	48.0	126.351211662	16094998.0	25.0
C.2_trimmed	71.2045226765	48.0	123.92759798	15393645.0	25.0
D.1_trimmed	76.7617339964	48.0	129.380928079	15458086.0	25.0
D.2_trimmed	72.6613894718	48.0	127.327357362	14909822.0	25.0
E.1_trimmed	73.3271479264	48.0	128.497304635	15569877.0	25.0
E.2_trimmed	68.9895759619	48.0	126.274825785	14730783.0	25.0
F.1_trimmed	76.0269077324	48.0	128.7229621	21556408.0	25.0
F.2_trimmed	71.2083568715	48.0	126.655746607	20312985.0	25.0
G.1_trimmed	76.607605189	47.0	129.815275898	16253997.0	25.0
G.2_trimmed	72.567238061	47.0	127.386131689	15509776.0	25.0
H.1_trimmed	74.6116768031	48.0	129.527718477	15568839.0	25.0
H.2_trimmed	70.1207987768	48.0	127.199412679	14945479.0	25.0
I.1_trimmed	73.6564042287	48.0	127.66824676	21248534.0	25.0
I.2_trimmed	69.3097075416	48.0	126.071917192	20361821.0	25.0
J.1_trimmed	75.4218812319	48.0	131.092415889	17651824.0	25.0
J.2_trimmed	71.472602529	48.0	129.201257886	16898508.0	25.0
K.1_trimmed	71.3733970716	48.0	127.197083592	16316305.0	25.0
K.2_trimmed	67.4080442069	48.0	125.470309398	15447346.0	25.0
L.1_trimmed	74.6201782708	48.0	130.052587683	16783588.0	25.0
L.2_trimmed	70.5693558115	48.0	128.577835927	16320773.0	25.0
M.1_trimmed	74.7020149117	48.0	130.642348567	15757879.0	25.0
M.2_trimmed	69.7729935854	48.0	128.635141382	14538415.0	25.0
N.1_trimmed	72.0851406777	48.0	126.992329307	18447486.0	25.0
N.2_trimmed	67.3688926166	48.0	125.190191595	17313988.0	25.0
O.1_trimmed	72.61498917	47.0	127.326996263	16145683.0	25.0
O.2_trimmed	68.3549465227	48.0	125.423246446	15157044.0	25.0
P.1_trimmed	74.3475244225	48.0	128.802186111	14646833.0	25.0
P.2_trimmed	70.1153707797	48.0	127.075470253	13998575.0	25.0
Q.1_trimmed	76.1770815054	48.0	131.010902959	18384458.0	25.0
Q.2_trimmed	71.7100678932	48.0	129.177241374	17667771.0	25.0
R.1_trimmed	72.7644154288	48.0	129.892586269	16809471.0	25.0
R.2_trimmed	68.0443759367	49.0	127.842748717	15885740.0	25.0
S.1_trimmed	74.1855841275	48.0	127.616221098	15724077.0	25.0
S.2_trimmed	69.6703976644	49.0	125.535270197	14944643.0	25.0
T.1_trimmed	75.1811675411	48.0	130.933838277	17912895.0	25.0
T.2_trimmed	70.5338113229	48.0	128.904170513	17272095.0	25.0
U.1_trimmed	71.8282951331	49.0	129.624570211	15600110.0	25.0
U.2_trimmed	66.4976462917	49.0	127.404004473	14379019.0	25.0
V.1_trimmed	76.2572208184	48.0	130.79011613	24613011.0	25.0
V.2_trimmed	70.3725430138	48.0	128.618189703	22894668.0	25.0
W.1_trimmed	76.2518924795	48.0	128.380659861	16284299.0	25.0
W.2_trimmed	71.5962283712	48.0	126.338711512	15375093.0	25.0
X.1_trimmed	72.033827828	48.0	128.734804188	16138509.0	25.0
X.2_trimmed	66.5249724657	48.0	126.591796996	15217742.0	25.0
