ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
P10272	(pol)	Baboon endogenous virus strain M7				GO:0006310~DNA recombination,GO:0015074~DNA integration,GO:0046718~viral entry into host cell,GO:0075713~establishment of integrated proviral latency,		GO:0003676~nucleic acid binding,GO:0003964~RNA-directed DNA polymerase activity,GO:0004190~aspartic-type endopeptidase activity,GO:0004523~RNA-DNA hybrid ribonuclease activity,	IPR000477:Reverse transcriptase,IPR001584:Integrase, catalytic core,IPR001969:Peptidase aspartic, active site,IPR001995:Peptidase A2A, retrovirus, catalytic,IPR002156:Ribonuclease H domain,IPR012337:Ribonuclease H-like domain,IPR015416:Zinc finger, H2C2-type, histone UAS binding,IPR018061:Peptidase A2A, retrovirus RVP subgroup,IPR021109:Aspartic peptidase,					Aspartyl protease,Complete proteome,DNA integration,DNA recombination,Endonuclease,Hydrolase,Multifunctional enzyme,Nuclease,Nucleotidyltransferase,Protease,RNA suppression of termination,RNA-directed DNA polymerase,Transferase,Viral genome integration,Virus entry into host cell,
Q6EAS5	1,4-alpha-glucan branching enzyme 1(GBE1)	Equus caballus			Carbohydrate transport and metabolism,	GO:0005978~glycogen biosynthetic process,	GO:0070062~extracellular exosome,	GO:0003844~1,4-alpha-glucan branching enzyme activity,GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0043169~cation binding,	IPR004193:Glycoside hydrolase, family 13, N-terminal,IPR006047:Glycosyl hydrolase, family 13, catalytic domain,IPR006048:Alpha-amylase, C-terminal all beta,IPR006407:1,4-alpha-glucan-branching enzyme,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR013781:Glycoside hydrolase, catalytic domain,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR015902:Glycoside hydrolase, family 13,IPR017853:Glycoside hydrolase, superfamily,	ecb00500:Starch and sucrose metabolism,ecb01100:Metabolic pathways,		PIRSF000463:1,4-alpha-glucan branching enzyme,	SM00642:Aamy,	Complete proteome,Glycogen biosynthesis,Glycogen storage disease,Glycosyltransferase,Phosphoprotein,Reference proteome,Transferase,	chain:1,4-alpha-glucan-branching enzyme,modified residue,
P28897	150K protein(SMYEVgp1)	Strawberry mild yellow edge virus				GO:0006351~transcription, DNA-templated,GO:0006396~RNA processing,GO:0039694~viral RNA genome replication,		GO:0003723~RNA binding,GO:0003968~RNA-directed RNA polymerase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0008174~mRNA methyltransferase activity,	IPR001788:Tymovirus, RNA-dependent RNA polymerase,IPR002588:Tymovirus methyltransferase,IPR007094:RNA-directed RNA polymerase,  catalytic domain,IPR027351:(+) RNA virus helicase core domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					ATP-binding,Complete proteome,Helicase,Hydrolase,Multifunctional enzyme,Nucleotide-binding,Nucleotidyltransferase,RNA-directed RNA polymerase,Transferase,Viral RNA replication,	chain:RNA replication protein,domain:RdRp catalytic,nucleotide phosphate-binding region:ATP,
Q6DH46	2-phosphoxylose phosphatase 1(pxylp1)	Danio rerio				GO:0006024~glycosaminoglycan biosynthetic process,GO:0010909~positive regulation of heparan sulfate proteoglycan biosynthetic process,GO:0050650~chondroitin sulfate proteoglycan biosynthetic process,	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003993~acid phosphatase activity,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,GO:0008330~protein tyrosine/threonine phosphatase activity,GO:0008579~JUN kinase phosphatase activity,GO:0008969~phosphohistidine phosphatase activity,GO:0016312~inositol bisphosphate phosphatase activity,GO:0016787~hydrolase activity,GO:0016791~phosphatase activity,GO:0017017~MAP kinase tyrosine/serine/threonine phosphatase activity,GO:0017161~inositol-1,3,4-trisphosphate 4-phosphatase activity,GO:0019178~NADP phosphatase activity,GO:0019198~transmembrane receptor protein phosphatase activity,GO:0030351~inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity,GO:0030352~inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity,GO:0030487~inositol-4,5-bisphosphate 5-phosphatase activity,GO:0043726~5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity,GO:0043812~phosphatidylinositol-4-phosphate phosphatase activity,GO:0043813~phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity,GO:0052629~phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity,GO:0052745~inositol phosphate phosphatase activity,GO:0052825~inositol-1,3,4,5,6-pentakisphosphate 1-phosphatase activity,GO:0052828~inositol-3,4-bisphosphate 4-phosphatase activity,GO:0052829~inositol-1,3,4-trisphosphate 1-phosphatase activity,GO:0052830~inositol-1,3,4,6-tetrakisphosphate 6-phosphatase activity,GO:0052831~inositol-1,3,4,6-tetrakisphosphate 1-phosphatase activity,GO:0052867~phosphatidylinositol-1,4,5-trisphosphate 5-phosphatase activity,GO:1990003~IDP phosphatase activity,	IPR000560:Histidine phosphatase superfamily, clade-2,					Complete proteome,Glycoprotein,Golgi apparatus,Hydrolase,Membrane,Reference proteome,Signal,Signal-anchor,Transmembrane,Transmembrane helix,	active site:Nucleophile,active site:Proton donor,chain:Acid phosphatase-like protein 2,glycosylation site:N-linked (GlcNAc...),signal peptide,
P31937	3-hydroxyisobutyrate dehydrogenase(HIBADH)	Homo sapiens				GO:0006574~valine catabolic process,GO:0009083~branched-chain amino acid catabolic process,GO:0055114~oxidation-reduction process,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,	GO:0004616~phosphogluconate dehydrogenase (decarboxylating) activity,GO:0008442~3-hydroxyisobutyrate dehydrogenase activity,GO:0051287~NAD binding,	IPR002204:3-hydroxyisobutyrate dehydrogenase-related, conserved site,IPR006115:6-phosphogluconate dehydrogenase, NADP-binding,IPR008927:6-phosphogluconate dehydrogenase, C-terminal-like,IPR011548:3-hydroxyisobutyrate dehydrogenase,IPR013328:Dehydrogenase, multihelical,IPR015815:Hydroxy monocarboxylic acid anion dehydrogenase, HIBADH-type,IPR016040:NAD(P)-binding domain,	hsa00280:Valine, leucine and isoleucine degradation,hsa01100:Metabolic pathways,		PIRSF000103:hydroxy monocarboxylic acid anion dehydrogenase, HIBADH type,		3D-structure,Acetylation,Branched-chain amino acid catabolism,Complete proteome,Direct protein sequencing,Mitochondrion,NAD,Oxidoreductase,Proteomics identification,Reference proteome,Signal,Transit peptide,	binding site:NAD,chain:3-hydroxyisobutyrate dehydrogenase, mitochondrial,helix,nucleotide phosphate-binding region:NAD,strand,transit peptide:Mitochondrion,turn,
Q29448	3-hydroxymethyl-3-methylglutaryl-CoA lyase(HMGCL)	Bos taurus				GO:0007005~mitochondrion organization,GO:0046951~ketone body biosynthetic process,GO:0051262~protein tetramerization,	GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,GO:0005777~peroxisome,	GO:0000287~magnesium ion binding,GO:0004419~hydroxymethylglutaryl-CoA lyase activity,GO:0005102~receptor binding,GO:0030145~manganese ion binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,	IPR000138:Hydroxymethylglutaryl-CoA lyase, active site,IPR000891:Pyruvate carboxyltransferase,IPR013785:Aldolase-type TIM barrel,	bta00072:Synthesis and degradation of ketone bodies,bta00280:Valine, leucine and isoleucine degradation,bta00650:Butanoate metabolism,bta01100:Metabolic pathways,bta04146:Peroxisome,				Acetylation,Complete proteome,Disulfide bond,Lyase,Metal-binding,Mitochondrion,Peroxisome,Reference proteome,Transit peptide,	binding site:Substrate,chain:Hydroxymethylglutaryl-CoA lyase, mitochondrial,metal ion-binding site:Divalent metal cation,modified residue,sequence conflict,transit peptide:Mitochondrion,
P56935	3-isopropylmalate dehydratase small subunit(leuD)	Buchnera aphidicola str. APS (Acyrthosiphon pisum)				GO:0009098~leucine biosynthetic process,	GO:0009316~3-isopropylmalate dehydratase complex,	GO:0003861~3-isopropylmalate dehydratase activity,	IPR000573:Aconitase A/isopropylmalate dehydratase small subunit, swivel,IPR004431:3-isopropylmalate dehydratase, small subunit,IPR015928:Aconitase/3-isopropylmalate dehydratase, swivel,IPR015937:Aconitase/isopropylmalate dehydratase,	buc00290:Valine, leucine and isoleucine biosynthesis,buc00660:C5-Branched dibasic acid metabolism,buc01100:Metabolic pathways,buc01110:Biosynthesis of secondary metabolites,buc01210:2-Oxocarboxylic acid metabolism,buc01230:Biosynthesis of amino acids,				Amino-acid biosynthesis,Branched-chain amino acid biosynthesis,Complete proteome,Leucine biosynthesis,Lyase,Plasmid,Reference proteome,	chain:3-isopropylmalate dehydratase small subunit,
A9CB92	33K(SnAdV-1p18)	Snake adenovirus 1				GO:0016032~viral process,			IPR021304:Adenovirus 33kDa/22kDa phosphoprotein,
Q6NY77	4-hydroxy-2-oxoglutarate aldolase 1(hoga1)	Danio rerio			Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane,	GO:0008152~metabolic process,GO:0009436~glyoxylate catabolic process,	GO:0005739~mitochondrion,	GO:0003824~catalytic activity,GO:0008700~4-hydroxy-2-oxoglutarate aldolase activity,GO:0016829~lyase activity,	IPR002220:Dihydrodipicolinate synthetase-like,IPR013785:Aldolase-type TIM barrel,IPR020625:Dihydrodipicolinate synthetase, active site,	dre00330:Arginine and proline metabolism,dre00630:Glyoxylate and dicarboxylate metabolism,dre01100:Metabolic pathways,		PIRSF001365:dihydrodipicolinate synthase,	SM01130:SM01130,	Complete proteome,Lyase,Mitochondrion,Proteomics identification,Reference proteome,Schiff base,Transit peptide,	active site:Schiff-base intermediate with substrate,chain:Dihydrodipicolinate synthase-like, mitochondrial,region of interest:Substrate binding,site:Involved in proton transfer during cleavage,transit peptide:Mitochondrion,
Q6Q311	40S ribosomal protein S25(LOC101110758)	Ovis aries					GO:0005840~ribosome,		IPR004977:Ribosomal protein S25,	oas03010:Ribosome,				Acetylation,Complete proteome,Reference proteome,Ribonucleoprotein,Ribosomal protein,
