target_id	length	eff_length	est_counts	tpm
TRINITY_DN106629_c0_g1_i1_len=542	542	390.179	1	0.162498
TRINITY_DN107138_c0_g1_i1_len=542	542	390.179	1	0.162498
TRINITY_DN107155_c0_g1_i1_len=541	541	389.179	8.11232	1.32162
TRINITY_DN109043_c0_g1_i1_len=542	542	390.179	2	0.324996
TRINITY_DN11060_c0_g1_i1_len=542	542	390.179	1	0.162498
TRINITY_DN112834_c0_g1_i1_len=542	542	390.179	2	0.324996
TRINITY_DN11301_c0_g1_i1_len=541	541	389.179	2	0.325831
TRINITY_DN113367_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN115615_c0_g1_i1_len=544	544	392.136	1.07668	0.174085
TRINITY_DN115922_c0_g1_i1_len=544	544	392.136	1	0.161687
TRINITY_DN115936_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN118597_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN11974_c0_g1_i1_len=541	541	389.179	5	0.814578
TRINITY_DN123891_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN125010_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN129389_c0_g1_i1_len=544	544	392.136	1	0.161687
TRINITY_DN129878_c0_g1_i1_len=542	542	390.179	3	0.487494
TRINITY_DN130451_c0_g1_i1_len=542	542	390.179	3	0.487494
TRINITY_DN134450_c0_g1_i1_len=542	542	390.179	2	0.324996
TRINITY_DN140404_c0_g1_i1_len=542	542	390.179	3.05057	0.495712
TRINITY_DN141503_c0_g1_i1_len=543	543	391.136	1	0.162101
TRINITY_DN142785_c0_g1_i1_len=542	542	390.179	1	0.162498
TRINITY_DN14320_c0_g1_i1_len=543	543	391.136	9	1.45891
TRINITY_DN143481_c0_g1_i1_len=543	543	391.136	2	0.324201
TRINITY_DN143557_c0_g1_i1_len=876	876	723.978	3.03084	0.26543
TRINITY_DN147118_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN14827_c1_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN15474_c0_g1_i1_len=875	875	722.978	3	0.263093
TRINITY_DN16366_c0_g3_i1_len=541	541	389.179	2	0.325831
TRINITY_DN16722_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN17531_c0_g1_i1_len=544	544	392.136	1.00154	0.161937
TRINITY_DN19847_c0_g1_i2_len=544	544	392.136	1	0.161687
TRINITY_DN20668_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN211_c0_g1_i1_len=542	542	390.179	1	0.162498
TRINITY_DN2165_c0_g1_i1_len=878	878	725.978	7	0.611346
TRINITY_DN2248_c0_g1_i1_len=542	542	390.179	2	0.324996
TRINITY_DN23172_c0_g3_i1_len=438	438	286.939	1.14881	0.253847
TRINITY_DN23720_c0_g1_i1_len=543	543	391.136	12	1.94521
TRINITY_DN23924_c0_g1_i1_len=878	878	725.978	5	0.436676
TRINITY_DN24425_c0_g1_i1_len=541	541	389.179	2	0.325831
TRINITY_DN25234_c0_g1_i1_len=541	541	389.179	3	0.488747
TRINITY_DN2543_c0_g1_i1_len=543	543	391.136	1	0.162101
TRINITY_DN25472_c0_g1_i1_len=544	544	392.136	2	0.323374
TRINITY_DN25685_c0_g2_i1_len=877	877	724.978	3	0.262367
TRINITY_DN25865_c0_g1_i2_len=544	544	392.136	8	1.2935
TRINITY_DN26001_c0_g1_i1_len=1211	1211	1058.98	8.01095	0.479633
TRINITY_DN26726_c0_g1_i1_len=544	544	392.136	2	0.323374
TRINITY_DN30295_c0_g1_i1_len=541	541	389.179	2	0.325831
TRINITY_DN31215_c0_g1_i1_len=543	543	391.136	1	0.162101
TRINITY_DN31617_c0_g1_i1_len=542	542	390.179	12	1.94998
TRINITY_DN32013_c0_g1_i2_len=901	901	748.978	9.42302	0.797689
TRINITY_DN32077_c0_g1_i1_len=543	543	391.136	5.05705	0.819751
TRINITY_DN33356_c0_g1_i1_len=543	543	391.136	2	0.324201
TRINITY_DN33980_c0_g1_i1_len=544	544	392.136	3	0.485062
TRINITY_DN34372_c1_g1_i1_len=876	876	723.978	3	0.262729
TRINITY_DN34611_c0_g2_i1_len=541	541	389.179	2.11123	0.343952
TRINITY_DN34887_c0_g1_i1_len=544	544	392.136	1	0.161687
