Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	156	21.63661581137309	3.653570652317873E-34	P04114, B9A064, P53597, P08603, P78543, Q5NVR2, Q2TBI0, P18757, P82013, Q3T100, P08174, Q8CG45, P32929, P18660, P06681, Q9CQW9, P10619, Q9NUQ9, Q0VCM4, P41562, P04186, Q03591, Q9Z2V4, Q76B49, Q5RBM6, P49312, Q3ZBD0, P04233, P08169, P67776, P67934, Q0VBZ9, P28075, Q99439, Q16851, Q12923, O89051, P51655, O88989, P49006, P17153, Q9WUM5, Q6B4U9, O76082, Q99J59, Q6B855, Q03265, P84245, P30043, Q9EP73, Q29RU4, Q90XD2, Q01628, Q3UZZ4, P21447, Q13509, F1LRS8, P50450, Q2UVX4, Q5R412, P01015, P50395, Q8CIS0, Q8K1B8, Q9QYI3, P0C0L4, P01031, Q9EQ20, Q5RFH9, Q5R5B6, P55160, P11586, Q9Z2P8, Q920P0, P55906, P40259, Q9JLQ0, Q2KJC9, P13804, P01027, P01024, P36957, P23004, P16930, Q5RE79, P02679, O94903, P02786, P05089, P84092, Q60675, P79110, P05107, Q68FU3, P11179, Q3LRP1, P31722, P11884, P56159, Q5ZJF4, Q99969, P61292, Q9YH58, Q63198, Q29RY7, Q91ZR2, Q569Z6, Q71SY6, O46629, O42204, P00504, P15814, Q9ER41, P12799, P48960, Q6EAS5, P00508, Q7PCJ8, P26644, D3YXG0, P19397, Q3SYW2, O88844, P00751, P01836, P19637, O46427, Q9JK11, Q8SQ74, Q9W719, Q15843, Q07014, O08565, Q9NR34, P35558, P18468, Q3ZCJ8, O14975, P06909, P15999, P13731, P62937, P06731, F1LMY4, P05153, P12387, Q99615, O15393, Q96KP4, Q9UNW1, Q90705, Q2KIV9, P35846, Q62651, Q8R2Y0, Q06647	672	5411	68124	2.9226575494363334	1.6185317989768176E-31	1.6185317989768176E-31	5.171697405891318E-31
GOTERM_BP_DIRECT	GO:0006957~complement activation, alternative pathway	15	2.0804438280166435	1.2754396370174387E-18	P01031, P04186, P81187, P08603, Q9BXR6, Q28085, Q2UVX4, P06909, P12387, P00751, P98093, Q864W0, P01027, P01024, P01025	647	41	67534	38.1878840426735	2.942439242599231E-15	2.942439242599231E-15	2.2294467584482843E-15
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	21	2.912621359223301	1.839308556177471E-18	P01030, P01031, P08649, B9A064, P15814, Q2UVX4, Q3SYW2, P12387, P01836, P31722, P98093, Q29RU4, P01027, Q2KIV9, Q63514, P08174, P01024, P0C0L4, Q8SQ74, P01025, P06681	647	130	67534	16.861419569611222	4.243284839101426E-15	2.121642419550713E-15	3.2150800236577486E-15
GOTERM_BP_DIRECT	GO:0006956~complement activation	15	2.0804438280166435	1.3949720920721202E-15	P01031, P04186, P08649, Q03591, P08603, Q2UVX4, Q3SYW2, P12387, P00751, Q864W0, P01027, P01024, Q8SQ74, P0C0L4, P06681	647	64	67534	24.464113214837713	3.329669873153307E-12	1.109889957717769E-12	2.5202062658991053E-12
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	113	15.672676837725383	1.0966763922956218E-14	P00367, Q2KHZ9, P53597, P14650, P87141, Q6FQF0, Q15070, Q8BWF0, Q8CG45, Q05A80, P41562, Q3UV71, Q5I0P2, A8E657, P04181, Q99MN9, P15650, P21571, Q15067, Q9CXW2, P51659, Q9DCM0, Q9CQ54, O88989, Q5F339, P19536, Q6DGU5, Q9WUM5, Q6B4U9, P09623, P30042, Q03265, Q60HE3, Q9BQP7, Q90XD2, Q9YGD2, Q3UZZ4, Q8CAQ8, P31800, O75489, P12762, Q9JM53, Q498P2, P21953, P19367, Q60759, P01015, O01884, P31937, P46742, P38671, Q99797, Q9EQ20, Q5RBH2, Q9UL12, Q9SI53, P11586, Q07973, Q91YT0, Q9Z1P3, P21265, Q96I99, Q2KJC9, P13804, P36957, O95167, O94903, Q6NY77, P02786, Q64441, P84092, O95847, Q9JIQ3, P56382, Q63ZW2, P56384, Q99LB7, Q68FU3, O95563, P11179, O95299, P00125, Q9LVQ8, Q5PRA2, P11884, P28331, Q9QZ23, Q8WNV7, Q2TBK2, Q8BMF3, O46629, P00504, Q9CZ13, P00508, Q1NZ26, P17735, O95479, O88844, Q7ZVF3, P05166, Q58CX2, Q99MQ3, Q9NR28, Q9BX68, A4IG32, Q99N96, Q7SY23, O14975, P15999, Q62651, Q8R2Y0, Q06647, A5PL98	672	5267	68124	2.174933548509588	4.869105119098549E-12	2.4344970483980433E-12	1.5554224574998443E-11
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	39	5.409153952843273	4.584327823701691E-14	P00367, Q9DCM0, Q8BMF3, Q2KHZ9, Q9UL12, P49914, A4QVH4, P53597, Q5NVR2, Q9WUM5, P00508, Q29448, Q2TBR0, P09623, Q9Z1P3, P05166, Q96I99, P13804, P36957, Q5RE79, P34943, O75489, P12762, Q7SY23, Q99LB7, P21953, Q68FU3, P04181, C7ZA26, Q60759, O95299, Q99MN9, P31937, Q8HYS5, P15650, P11884, P28331, Q99797, Q86X67	672	873	68124	4.528780068728523	2.03125294362394E-11	6.77080613797898E-12	6.490363801958665E-11
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	26	3.6061026352288486	3.0363047514843455E-13	Q5RFH9, O88989, P19536, Q5NVR2, Q9CZ13, Q6B4U9, P00508, P09623, Q03265, Q6B855, P82013, Q5ZLN1, Q9JK11, P36957, P23004, Q8CAQ8, O75489, P31800, P11179, P15999, P50395, O95299, Q9Z329, P28331, Q63198, Q06647	672	392	68124	6.723852040816326	1.3451517677509628E-10	3.3628766438198454E-11	4.298117417533831E-10
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	45	6.2413314840499305	2.4490454726895857E-11	Q2TBK2, Q9CQ54, O46629, P53597, P00428, Q5F339, P19536, Q5NVR2, Q86UD5, Q9WUM5, Q9CZ13, P00508, Q29448, Q91YT0, Q07973, Q5T653, Q03265, P82013, P82669, Q15070, Q7ZVF3, Q99MQ3, A3LQ52, A5E047, O95167, Q8CAQ8, A4IG32, P31800, O95847, P56382, Q9JM53, Q63ZW2, P79110, O95563, C7ZA26, Q60759, P15999, Q58DQ5, O01884, P00125, O95299, Q35920, P20350, P21571, A5PL98	672	1395	68124	3.2701612903225805	1.0849251386169101E-8	2.1698502994382807E-9	3.466663622830879E-8
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	58	8.044382801664355	3.665887181877787E-11	P00367, Q9EQ20, Q9UL12, P14650, P11586, Q91YT0, Q07973, Q15070, Q920P0, Q9DBS4, Q2KJC9, Q8BWF0, Q8CG45, Q01741, Q9NZ01, Q7TQA3, Q64441, A8E657, Q99LB7, P50169, Q68FU3, P00125, Q7ZW77, A1L1V4, A6QPN6, Q66I21, P15650, Q5PRA2, P11884, Q99L27, Q5ZJF4, Q8WNV7, Q7ZVB2, Q9DCM0, Q8BMF3, Q95Q98, O73872, Q6P5L8, Q9CZ13, Q8N2H3, P09623, O95479, O88844, P30043, Q7ZVF3, P34943, Q802W2, A7MBU6, Q7SY23, Q9JM53, P21953, Q60759, O01884, P50395, Q7ZV14, P31937, P26374, A5PL98	647	2238	67534	2.7051173146701695	8.457207445466963E-8	2.114301922429007E-8	6.407913089034878E-8
GOTERM_CC_DIRECT	GO:0005615~extracellular space	65	9.015256588072122	8.345476504096212E-11	P01030, P01031, O70460, P08649, P04114, P08603, P14650, Q5EA85, Q2TBI0, P55906, Q16627, P13609, Q5JJ64, A9QWP9, P98093, P01027, P01024, P06681, P01025, P02679, Q5E968, P04186, P98165, P02786, P05089, Q03591, Q9R182, Q76B49, P11941, P31722, Q5ZJF4, Q8HY81, Q02445, Q9Y4B5, O89051, P51655, O88989, P29279, O42204, Q6P1C6, P48960, Q6B4U9, Q96FZ5, O89093, P26644, P00751, P01836, P19637, O46427, Q3UZZ4, P50450, P78556, Q2UVX4, P18468, Q3ZCJ8, O93449, P06909, P01015, P13731, P62937, P12387, Q75ZP3, Q2WEN9, Q63514, P0C0L4	672	2664	68124	2.473489114114114	3.6970475125741586E-8	6.1617458912976986E-9	1.1813182654307752E-7
