Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	156	21.63661581137309	3.653570652317873E-34	P04114, B9A064, P53597, P08603, P78543, Q5NVR2, Q2TBI0, P18757, P82013, Q3T100, P08174, Q8CG45, P32929, P18660, P06681, Q9CQW9, P10619, Q9NUQ9, Q0VCM4, P41562, P04186, Q03591, Q9Z2V4, Q76B49, Q5RBM6, P49312, Q3ZBD0, P04233, P08169, P67776, P67934, Q0VBZ9, P28075, Q99439, Q16851, Q12923, O89051, P51655, O88989, P49006, P17153, Q9WUM5, Q6B4U9, O76082, Q99J59, Q6B855, Q03265, P84245, P30043, Q9EP73, Q29RU4, Q90XD2, Q01628, Q3UZZ4, P21447, Q13509, F1LRS8, P50450, Q2UVX4, Q5R412, P01015, P50395, Q8CIS0, Q8K1B8, Q9QYI3, P0C0L4, P01031, Q9EQ20, Q5RFH9, Q5R5B6, P55160, P11586, Q9Z2P8, Q920P0, P55906, P40259, Q9JLQ0, Q2KJC9, P13804, P01027, P01024, P36957, P23004, P16930, Q5RE79, P02679, O94903, P02786, P05089, P84092, Q60675, P79110, P05107, Q68FU3, P11179, Q3LRP1, P31722, P11884, P56159, Q5ZJF4, Q99969, P61292, Q9YH58, Q63198, Q29RY7, Q91ZR2, Q569Z6, Q71SY6, O46629, O42204, P00504, P15814, Q9ER41, P12799, P48960, Q6EAS5, P00508, Q7PCJ8, P26644, D3YXG0, P19397, Q3SYW2, O88844, P00751, P01836, P19637, O46427, Q9JK11, Q8SQ74, Q9W719, Q15843, Q07014, O08565, Q9NR34, P35558, P18468, Q3ZCJ8, O14975, P06909, P15999, P13731, P62937, P06731, F1LMY4, P05153, P12387, Q99615, O15393, Q96KP4, Q9UNW1, Q90705, Q2KIV9, P35846, Q62651, Q8R2Y0, Q06647	672	5411	68124	2.9226575494363334	1.6185317989768176E-31	1.6185317989768176E-31	5.171697405891318E-31
UP_SEQ_FEATURE	transit peptide:Mitochondrion	76	10.540915395284326	4.897043172975437E-27	P00367, Q9EQ20, Q5RBH2, Q5RFH9, Q2KHZ9, A4QVH4, Q9UL12, Q9SI53, P53597, P00428, Q5NVR2, Q07973, Q91YT0, Q15070, Q96I99, P13804, Q8BWF0, P36957, P23004, Q5RE79, Q6NY77, Q5I0P2, Q64441, Q9JIQ3, P11181, A8E657, P56384, P79110, Q99LB7, P11179, Q58DQ5, O95299, P00125, Q99MN9, P15650, Q5PRA2, P11884, P28331, Q9QZ23, P21571, Q2TBK2, Q9DCM0, Q8BMF3, O46629, P19536, Q9WUM5, Q9CZ13, P00508, Q29448, Q2TBR0, P09623, Q5T653, Q1NZ26, Q03265, Q7ZVF3, P05166, Q99MQ3, Q9NR28, Q9BX68, A3LQ52, Q90XD2, P34943, Q99N96, O75489, P31800, Q7SY23, Q9JM53, Q498P2, P21953, Q60759, P15999, P31937, Q99797, Q62651, A5PL98, Q06647	635	1787	67159	4.498000872442707	8.031150803679718E-24	8.031150803679718E-24	8.224418681815879E-24
UP_KEYWORDS	Mitochondrion	115	15.950069348127602	3.884768218125765E-22	P00367, Q2KHZ9, P53597, Q5NVR2, P87141, P82013, Q15070, Q8BWF0, A5E047, Q5I0P2, A8E657, P04181, Q99MN9, P15650, P21571, Q8IVP5, Q9CXW2, Q9DCM0, Q9CQ54, Q5F339, P19536, Q6DGU5, O13085, Q9WUM5, Q29448, P09623, P30042, Q03265, Q60HE3, Q9BQP7, A3LQ52, Q90XD2, Q9YGD2, Q3UZZ4, P34943, Q8CAQ8, P12762, P31800, O75489, Q5RC24, Q9JM53, Q498P2, P21953, P19367, Q60759, O01884, Q8HYS5, P31937, P46742, P38671, Q99797, Q9EQ20, Q5RBH2, Q5RFH9, A4QVH4, Q9UL12, Q9SI53, P00428, Q07973, Q91YT0, Q9Z1P3, Q6PA35, Q96I99, Q2KJC9, P13804, P23004, P36957, O95167, Q5RE79, Q6NY77, Q64441, P11181, O95847, Q9JIQ3, P56382, Q63ZW2, P79110, P56384, Q99LB7, Q68FU3, O95563, P11179, Q58DQ5, P00125, O95299, Q5PRA2, P11884, P28331, Q35920, Q9QZ23, Q2TBK2, Q8BMF3, O46629, Q86UD5, Q9CZ13, P00508, Q2TBR0, Q1NZ26, Q5T653, P82669, Q7ZVF3, P05166, Q58CX2, Q99MQ3, Q9NR28, Q9BX68, A4IG32, Q99N96, Q7SY23, C7ZA26, P15999, Q62651, Q8R2Y0, Q06647, A5PL98	719	4697	79990	2.723855637738763	1.736491393502217E-19	1.736491393502217E-19	5.506041014014135E-19
UP_KEYWORDS	Transit peptide	90	12.482662968099861	8.618987413721732E-21	Q9FM68, P00367, Q9EQ20, Q5RBH2, Q5RFH9, Q2KHZ9, A4QVH4, Q9UL12, Q9SI53, P53597, P00428, Q5NVR2, Q07973, Q91YT0, Q15070, Q96I99, Q2KJC9, P13804, Q8BWF0, A5E047, P36957, P23004, Q5RE79, Q6NY77, Q64441, Q5I0P2, Q9JIQ3, P11181, A8E657, P56384, P79110, Q99LB7, P04181, P11179, Q58DQ5, O95299, P00125, Q99MN9, P15650, Q5PRA2, P11884, P28331, Q9QZ23, P21571, Q2TBK2, Q9DCM0, Q8BMF3, O46629, P19536, O13085, Q9WUM5, Q9CZ13, P00508, Q2TBR0, Q29448, P09623, Q1NZ26, Q5T653, Q03265, P30042, Q7ZVF3, Q58CX2, P05166, Q60HE3, Q9BQP7, Q99MQ3, Q9NR28, Q9BX68, Q90XD2, A3LQ52, Q8CAQ8, P34943, A4IG32, Q99N96, O75489, P31800, Q7SY23, Q9JM53, Q498P2, P21953, C7ZA26, Q60759, P15999, O01884, P31937, Q99797, P38671, Q62651, A5PL98, Q06647	719	3229	79990	3.100853659744725	3.852687373933614E-18	1.926343686966807E-18	1.2216043669683648E-17
UP_KEYWORDS	Immunity	47	6.51872399445215	7.222428493158906E-20	P01030, P01031, P08649, Q3MHZ8, Q3T0W7, P81187, P08603, Q28085, Q5EA85, Q2TBI0, A5HAK0, Q95460, Q3SYW2, P00751, O42197, Q9I8N6, P40259, Q864W0, Q29RU4, P98093, P01027, Q01628, P08174, P01024, Q8SQ74, P01025, P06681, Q9CQW9, Q07014, P04186, P26151, Q60754, Q2UVX4, Q9ULY5, P18468, P06909, P04233, Q8WTT0, P12387, Q3LRP1, P31722, A6QPN6, Q2KIV9, Q63514, O19477, Q8R4L0, P0C0L4	719	963	79990	5.429731786821722	3.228425536442031E-17	1.076141845480677E-17	1.0236643545056371E-16
UP_SEQ_FEATURE	domain:Sushi 3	18	2.496532593619972	1.4637847062140252E-19	P04186, Q03591, P81187, P08603, Q9BXR6, Q28085, P06909, P26644, Q09101, Q07968, Q3SYW2, P00751, Q864W0, Q63514, P08174, P05160, P17690, P06681	635	70	67159	27.19599550056243	2.4006069181910016E-16	1.2003034590955008E-16	2.4583769958124037E-16
UP_KEYWORDS	Sushi	22	3.0513176144244105	4.2156050589319055E-19	P04186, Q03591, P81187, P55067, P08603, P14650, Q9BXR6, Q28085, P06909, P26644, Q09101, Q07968, Q3SYW2, P00751, Q864W0, Q29RU4, Q63514, P08174, P05160, P17690, Q8SQ74, P06681	719	148	79990	16.537420591662595	1.8843754613425617E-16	4.710938653356404E-17	5.974949610909608E-16
INTERPRO	IPR000436:Sushi/SCR/CCP	22	3.0513176144244105	7.834866042114348E-19	P04186, Q03591, P81187, P55067, P08603, P14650, Q9BXR6, Q28085, P06909, P26644, Q09101, Q07968, Q3SYW2, P00751, Q864W0, Q29RU4, Q63514, P08174, P05160, P17690, Q8SQ74, P06681	703	149	76330	16.03158085673098	1.1125509779802375E-15	1.1125509779802375E-15	1.2931603820842624E-15
GOTERM_BP_DIRECT	GO:0006957~complement activation, alternative pathway	15	2.0804438280166435	1.2754396370174387E-18	P01031, P04186, P81187, P08603, Q9BXR6, Q28085, Q2UVX4, P06909, P12387, P00751, P98093, Q864W0, P01027, P01024, P01025	647	41	67534	38.1878840426735	2.9411638029622137E-15	2.9411638029622137E-15	2.229335792250934E-15
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	21	2.912621359223301	1.839308556177471E-18	P01030, P01031, P08649, B9A064, P15814, Q2UVX4, Q3SYW2, P12387, P01836, P31722, P98093, Q29RU4, P01027, Q2KIV9, Q63514, P08174, P01024, P0C0L4, Q8SQ74, P01025, P06681	647	130	67534	16.861419569611222	4.241445530545248E-15	2.120722765272624E-15	3.214919999560716E-15
